Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
47,C.J. Sapong\ef4e4c5d,Nashville,Saved,13,Head,,Eric Miller,Pass (Live),C.J. Sapong,Pass (Live)
57,Jhegson Méndez\db0c5324,Orlando City,Blocked,18,Right Foot,Half volley,,,,
58,Jhegson Méndez\db0c5324,Orlando City,Off Target,22,Right Foot,Half volley,Jhegson Méndez,Shot,,
70,Randall Leal\874a5031,Nashville,Blocked,33,Right Foot,,C.J. Sapong,Pass (Live),Aníbal Godoy,Pass (Live)
74,Júnior Urso\b40424f1,Orlando City,Blocked,25,Right Foot,,Benji Michel,Pass (Live),Mauricio Pereyra,Pass (Live)
74,Hany Mukhtar\87fe8526,Nashville,Goal,16,Left Foot,,C.J. Sapong,Pass (Live),Hany Mukhtar,Pass (Live)
76,Júnior Urso\b40424f1,Orlando City,Saved,27,Right Foot,Half volley,Emmanuel Más,Pass (Dead),,
77,Nani\15e9c7e6,Orlando City,Blocked,19,Right Foot,,Júnior Urso,Pass (Live),,
77,Chris Mueller\a5334099,Orlando City,Blocked,19,Left Foot,,Ruan,Pass (Live),Júnior Urso,Pass (Live)
86,Tesho Akindele\897304e5,Orlando City,Off Target,12,Right Foot,Half volley,,,,
87,Daryl Dike\d4cfc93c,Orlando City,Blocked,9,Right Foot,Volley,Tesho Akindele,Pass (Live),Robin Jansson,Pass (Live)
93,Tesho Akindele\897304e5,Orlando City,Off Target,6,Head,,Silvester van der Water,Pass (Live),Mauricio Pereyra,Pass (Live)
94,Jhonder Cádiz\e8edfdc9,Nashville,Goal,16,Right Foot,,Jhonder Cádiz,Fouled,Daniel Lovitz,Pass (Live)
