Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atlanta Utd,30,34,63,3,0,388,507,57,398,527,353,5,5,0,2339,419,419,50
Austin FC,27,34,61,4,2,351,347,47,432,428,340,2,3,1,2314,394,399,49.7
CF Montréal,28,34,63,5,2,408,373,54,345,469,302,3,4,2,2509,366,364,50.1
Chicago Fire,25,34,62,2,0,445,420,56,440,566,404,0,5,3,2786,585,562,51
Colorado Rapids,27,34,72,2,0,402,310,60,422,479,325,3,1,1,2342,467,418,52.8
Columbus Crew,27,34,51,1,1,357,431,48,426,521,341,4,5,0,2456,465,513,47.5
D.C. United,29,34,70,2,1,511,404,56,387,614,387,9,2,5,2810,601,608,49.7
FC Cincinnati,29,34,75,3,0,431,416,59,297,525,415,3,2,1,2283,350,398,46.8
FC Dallas,26,34,80,1,0,457,357,57,339,542,411,3,9,1,2493,444,426,51
Houston Dynamo,30,34,70,1,0,448,370,66,444,513,356,3,5,3,2630,470,488,49.1
Inter Miami,26,34,86,4,3,434,413,66,331,506,385,4,4,2,2238,356,370,49
LA Galaxy,29,34,54,1,0,385,360,53,460,483,382,5,6,2,2414,394,340,53.7
Los Angeles FC,30,34,53,1,0,446,387,49,340,650,429,5,0,0,2949,454,462,49.6
Minnesota Utd,27,34,57,3,0,426,381,47,391,528,431,2,6,2,2809,470,503,48.3
Nashville,28,34,53,1,0,437,381,61,447,490,356,2,5,2,2496,594,508,53.9
New England,25,34,55,3,2,373,405,44,528,502,366,3,4,1,2595,567,548,50.9
NY Red Bulls,28,34,74,2,2,507,372,64,406,673,439,3,4,0,3503,770,781,49.6
NYCFC,26,34,76,8,4,506,403,61,370,476,374,4,2,1,2823,521,492,51.4
Orlando City,29,34,67,3,1,398,417,48,357,481,363,6,2,3,2389,476,427,52.7
Philadelphia,27,34,73,3,1,430,353,65,528,576,449,2,5,3,2808,602,610,49.7
Portland Timbers,29,34,71,2,2,414,382,39,374,597,405,3,8,1,2451,447,459,49.3
Real Salt Lake,26,34,73,1,1,366,339,39,450,475,313,2,4,3,2563,524,565,48.1
San Jose,24,34,82,4,1,426,473,40,409,602,408,1,5,3,2501,434,421,50.8
Seattle,29,34,58,0,0,378,448,44,437,526,445,3,4,1,2718,527,500,51.3
Sporting KC,25,34,50,2,0,348,400,39,433,492,371,5,2,0,2665,440,430,50.6
Toronto FC,30,34,58,4,1,336,409,71,377,491,333,2,6,2,2472,393,435,47.5
Vancouver,27,34,56,0,0,403,401,55,360,525,351,4,5,2,2280,446,530,45.7
