Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atlanta Utd,30,34,18170,16514,1656,560,35,2511,671,398,163,55,68,6,13408,2096,2666,4772,11846,421,611,270,15376,52,283,482,310
Austin FC,27,34,17512,15868,1644,414,26,2299,590,432,203,103,56,8,12606,2148,2758,3972,11988,445,633,254,14707,46,294,527,326
CF Montréal,28,34,17515,15977,1538,459,37,2773,486,345,168,59,62,10,13204,1871,2440,5311,10769,410,588,235,14697,50,264,525,343
Chicago Fire,25,34,15869,14054,1815,484,26,2545,459,440,180,61,72,5,10533,2182,3154,5005,8894,567,797,261,12500,49,274,534,381
Colorado Rapids,27,34,15900,14347,1553,361,41,2305,562,422,170,78,73,9,11244,1956,2700,5331,9017,426,647,192,13053,56,266,470,325
Columbus Crew,27,34,16530,14908,1622,448,25,2370,541,426,151,67,65,6,11607,2040,2883,3610,11353,444,644,188,13517,44,293,427,344
D.C. United,29,34,14062,12290,1772,462,30,2211,464,387,168,63,69,4,8736,2183,3143,3480,8550,628,772,223,10609,49,308,531,386
FC Cincinnati,29,34,15777,14132,1645,479,41,2145,556,297,137,73,30,3,11354,1918,2505,5654,8783,368,609,196,13060,50,263,421,322
FC Dallas,26,34,16840,15300,1540,395,35,2548,530,339,165,61,64,6,12073,2108,2659,5288,9944,529,599,218,13818,53,324,505,341
Houston Dynamo,30,34,14372,12689,1683,396,33,2137,500,444,190,71,69,14,9659,1962,2751,4158,8530,499,706,203,11182,61,311,474,371
Inter Miami,26,34,15274,13722,1552,469,37,2062,594,331,150,45,75,10,10854,1801,2619,4587,9325,353,575,233,12541,62,232,513,298
LA Galaxy,29,34,18641,17082,1559,416,37,2493,516,460,172,60,53,8,13914,2115,2612,4706,12352,471,626,242,15695,50,268,530,331
Los Angeles FC,30,34,16028,14252,1776,436,40,2423,347,340,189,95,72,6,11277,2137,2614,4625,9583,512,806,211,12767,38,262,600,420
Minnesota Utd,27,34,16493,14839,1654,434,25,2408,475,391,188,95,70,14,11345,2213,2935,5303,9331,559,706,229,13232,44,301,590,355
Nashville,28,34,15383,13882,1501,418,24,2447,476,447,163,64,82,6,10346,1894,3143,5071,8444,596,624,231,12347,58,257,468,320
New England,25,34,16355,14705,1650,448,30,2568,519,528,218,65,75,19,11415,2009,2931,4368,10220,478,641,268,13218,41,289,512,370
NY Red Bulls,28,34,13944,12193,1751,429,17,2136,408,406,176,61,80,5,7943,2238,3763,3641,7969,734,875,205,9926,59,330,515,471
NYCFC,26,34,17092,15440,1652,477,37,2590,441,370,159,96,30,6,11986,2274,2832,5137,10082,583,698,269,13880,52,255,541,428
Orlando City,29,34,16683,15104,1579,467,30,2381,480,357,148,56,55,7,12000,2064,2619,4613,10479,469,600,233,13931,44,206,449,318
Philadelphia,27,34,15055,13466,1589,402,25,2229,646,528,166,57,77,10,9607,2077,3371,3921,9226,594,677,201,11554,60,308,498,410
Portland Timbers,29,34,15143,13549,1594,424,33,2365,431,374,130,37,66,4,10040,2114,2989,3402,10097,501,644,229,12172,35,268,475,340
Real Salt Lake,26,34,15802,14153,1649,386,31,2255,598,450,166,55,62,13,10457,2042,3303,3698,10239,597,682,190,12691,35,294,432,310
San Jose,24,34,15804,14073,1731,507,18,2319,702,409,182,80,49,10,10883,2036,2885,4765,9429,425,657,246,12818,38,354,517,352
Seattle,29,34,16266,14630,1636,513,14,2582,449,437,154,50,79,4,10931,2141,3194,4189,10322,528,616,270,12961,39,272,551,389
Sporting KC,25,34,19106,17467,1639,475,31,2631,773,433,207,131,15,7,14113,2042,2951,7729,9744,507,642,204,16101,35,328,480,369
Toronto FC,30,34,17101,15417,1684,482,31,2637,317,377,151,49,50,8,12669,1951,2481,4701,10758,478,659,222,14023,64,259,562,360
Vancouver,27,34,14984,13295,1689,450,27,2326,517,360,174,77,81,4,9906,1999,3079,3873,9359,514,678,245,11915,51,293,408,337
