Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Brenden Aaronson\5bc43860,us USA,MF,Philadelphia,19,2000,21.2,21.3,26.8,79.4,331.1,72.7,11.5,13,88,7.83,9.29,84.3,1.56,3.11,50,0.19,0.13,0.06,1.27,1.46,0.61,0.05,1.84,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,FC Cincinnati,28,1991,4.7,40.4,47.7,84.8,772.1,222.8,14.9,16.6,89.7,18.7,21.3,88,5.32,7.45,71.4,0,0.02,-0.02,0.43,0.85,0,0,2.34,Matches
3,Mohammed Abu\c1f17b17,gh GHA,MF,D.C. United,28,1991,3.7,51.4,60,85.6,931.4,272.7,25.1,27.8,90.3,18.4,21.9,84,6.76,8.11,83.3,0,0.03,-0.03,0.54,4.59,0.54,0,4.86,Matches
4,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,25,1994,16.8,50.2,55.4,90.8,1138.4,378.7,13.1,14,93.2,26.4,28.3,93.3,10.7,12.3,86.5,0,0.01,-0.01,0.18,2.62,0,0,2.32,Matches
5,David Accam\f5220ece,gh GHA,FWMF,Nashville,29,1990,2.3,18.3,25.2,72.4,327,66.5,9.13,11.3,80.8,7.39,10,73.9,1.74,2.61,66.7,0,0.04,-0.04,1.3,1.3,0.87,0.43,1.74,Matches
6,Nicolás Acevedo\6140be7b,uy URU,MFFW,NYCFC,20,1999,1.5,54.7,65.3,83.7,1012,195.3,22,24,91.7,27.3,33.3,82,5.33,6,88.9,0,0,0,0,5.33,0,0,1.33,Matches
7,Ifunanyachi Achara\d31bf83e,us USA,MF,Toronto FC,22,1997,1,25,29,86.2,395,126,13,16,81.3,5,6,83.3,4,4,100,0,0.2,-0.2,1,0,0,0,1,Matches
8,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,26,1993,8.4,47.9,55.4,86.5,1035.6,298,15.8,17.4,91.1,22.5,24.3,92.6,8.93,12.1,73.5,0.24,0.2,0.04,1.79,6.9,0.83,0.12,7.14,Matches
9,Kellyn Acosta\ece10cfe,us USA,MF,Colorado Rapids,24,1995,12.7,32.8,38,86.1,636.9,142.9,12.2,14.1,86.6,15.8,17.2,92.2,4.33,5.59,77.5,0.08,0.08,0,0.71,2.52,0.39,0.08,2.52,Matches
10,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,23,1996,8.7,46.6,51.6,90.2,925.7,177.4,18.4,19.7,93.6,20,21.1,94.6,7.7,9.2,83.8,0.11,0.07,0.05,0.46,4.6,0.34,0,2.64,Matches
11,Fanendo Adi\ae2dd50a,ng NGA,FW,Columbus Crew,29,1990,2,16.5,27.5,60,233,31.5,8.5,13,65.4,6,9.5,63.2,0.5,2,25,0,0,0,0.5,1,0.5,0,1.5,Matches
12,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Vancouver,26,1993,19.6,35.9,49.2,73,733.9,319.3,11.5,14.1,81.5,18.6,23.7,78.7,5.41,9.74,55.5,0.2,0.18,0.03,0.82,2.6,1.07,0.31,4.64,Matches
13,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,33,1986,20,54.1,68.3,79.2,1056.1,405.4,21.2,23.6,89.8,25.3,29.9,84.6,7.5,13.2,56.8,0.05,0.07,-0.02,0.8,4.75,1.5,0.6,6.55,Matches
14,Juan Agudelo\0cb2115f,us USA,FWMF,Inter Miami,27,1992,9.4,20.3,27.4,74,310.1,79.3,10.4,13.5,77.2,7.45,9.68,76.9,1.28,2.02,63.2,0,0.06,-0.06,0.53,1.81,0.64,0,2.77,Matches
15,Matheus Aiás\3ac4ee49,br BRA,FWMF,Orlando City,23,1996,0.2,25,35,71.4,410,150,5,5,100,10,10,100,5,15,33.3,0,0,0,0,5,0,0,5,Matches
16,José Aja\d47341b9,uy URU,DF,Minnesota Utd,26,1993,11.9,29.7,36.7,81,673.9,253.2,8.15,9.33,87.4,15.2,17.6,86.2,6.22,9.08,68.5,0,0.05,-0.05,0.34,1.6,0.08,0,1.34,Matches
17,Jacob Akanyirige\760e85e2,us USA,DF,San Jose,18,2001,0.8,38.8,45,86.1,873.8,276.3,8.75,10,87.5,21.3,25,85,8.75,10,87.5,0,0,0,0,6.25,0,0,3.75,Matches
18,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,27,1992,9.1,23.6,30.1,78.5,350,59.2,13.6,16,84.9,7.14,9.56,74.7,1.87,2.2,85,0,0.1,-0.1,1.21,1.54,0.55,0.11,1.32,Matches
19,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,20,2000,11.8,11.2,14.4,77.6,155.8,18.1,6.69,7.8,85.9,3.31,4.41,75,0.51,0.68,75,0,0.03,-0.03,0.51,0.42,0.34,0.08,0.76,Matches
20,Oswaldo Alanís\e97787d9,mx MEX,DF,San Jose,30,1989,13.2,55.3,63.3,87.3,1328.7,447.3,15.6,17,91.6,25.2,26.8,94.1,14.4,18.9,76.3,0,0,0,0,5.45,0.23,0,4.47,Matches
21,Fatai Alashe\eb67fa0a,us USA,MF,FC Cincinnati,26,1993,0.3,16.7,16.7,100,430,0,0,0,,10,10,100,6.67,6.67,100,0,0,0,0,0,0,0,0,Matches
22,Fatai Alashe\eb67fa0a,us USA,MF,Columbus Crew,26,1993,4.8,39.6,47.7,83,792.5,185.8,15.6,18.3,85.2,17.7,19,93.4,5.83,8.75,66.7,0,0.04,-0.04,0.83,4.58,0.42,0,2.92,Matches
23,Ignacio Aliseda\bb8099ee,ar ARG,FWMF,Chicago Fire,19,2000,15.5,21.6,25.4,85,350.1,62.3,10.1,11.7,86.7,8.39,9.42,89,1.81,2.06,87.5,0.13,0.12,0.01,0.97,1.48,1.1,0.13,1.87,Matches
24,Osvaldo Alonso\8449bfda,cu CUB,MF,Minnesota Utd,34,1985,8.3,53.9,58.9,91.4,1064.7,319.5,21.9,23.5,93.3,23.1,24.6,94.1,8.55,9.76,87.7,0,0.05,-0.05,0.48,5.66,0.24,0.12,3.98,Matches
25,Jozy Altidore\8db8ad1e,us USA,FWMF,Toronto FC,30,1989,8.3,22.5,29,77.6,385.8,92.9,11.7,14.3,81.5,7.47,9.64,77.5,2.41,3.13,76.9,0,0.1,-0.1,1.33,2.53,1.45,0.24,3.25,Matches
26,Alexander Alvarado\7302ba2b,ec ECU,FWMF,Orlando City,20,1999,0.3,30,30,100,433.3,126.7,16.7,16.7,100,13.3,13.3,100,0,0,,0,0,0,0,0,0,0,3.33,Matches
27,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,17,2002,8,33.5,46.8,71.7,695.1,245.1,14.1,17,83.1,11.5,14.3,80.7,7.25,13.4,54.2,0.13,0.24,-0.11,2.38,4.13,1.25,0,5.25,Matches
28,Luis Amarilla\fa66adb6,py PAR,FW,Minnesota Utd,24,1995,4.7,19.4,26.6,72.8,302.3,61.5,11.1,13.6,81.3,6.17,7.87,78.4,1.49,2.77,53.8,0.21,0.02,0.19,0.64,2.34,1.28,0,2.13,Matches
29,Frankie Amaya\2e8bd00c,us USA,MF,FC Cincinnati,19,2000,19.3,41.9,48.6,86.1,863.8,144.5,14.8,16.4,90.2,18.6,20.3,91.6,7.82,10.8,72.6,0,0.02,-0.02,0.52,2.23,0.36,0,2.23,Matches
