Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Brenden Aaronson\5bc43860,us USA,MF,Philadelphia,19,2000,21.2,40.8,0.61,6.04,15.8,21.4,4.76,39.3,1.93,3.49,55.4,2.08,0.09,30.3,146.8,81.5,4.29,1.32,0.9,1.98,2.59,38,27,71.1,7.17,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,FC Cincinnati,28,1991,4.7,58.1,4.47,18.3,28.5,14.5,0.43,47.9,0,0.64,0,0,0,27.9,156,77.2,4.04,1.06,0.21,0.85,0.43,33.4,29.1,87.3,1.49,Matches
3,Mohammed Abu\c1f17b17,gh GHA,MF,D.C. United,28,1991,3.7,69.7,3.78,23.2,41.6,8.92,0.81,68.4,1.35,1.35,100,1.35,0,45.9,188.6,93.8,3.51,1.35,0,0.81,1.08,51.9,48.4,93.2,2.7,Matches
4,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,25,1994,16.8,66.5,9.23,40.7,28.3,1.07,0.36,65.6,0.06,0.18,33.3,0.12,0,43,156.4,77.4,1.19,0.12,0,0.12,0,44.8,43.8,97.6,0.24,Matches
5,David Accam\f5220ece,gh GHA,FWMF,Nashville,29,1990,2.3,39.1,0.87,4.35,14.3,23.9,4.78,38.7,1.74,4.35,40,2.17,0,28.7,185.7,148.3,6.96,3.04,1.3,2.17,1.74,38.7,29.1,75.3,8.7,Matches
6,Nicolás Acevedo\6140be7b,uy URU,MFFW,NYCFC,20,1999,1.5,80.7,6,26.7,49.3,12,0,79.3,2,2.67,75,2.67,0,54.7,254,100,4,2,0,2,2,58.7,50.7,86.4,2,Matches
7,Ifunanyachi Achara\d31bf83e,us USA,MF,Toronto FC,22,1997,1,50,2,12,22,23,3,50,3,7,42.9,3,0,40,190,116,5,2,0,5,2,32,25,78.1,4,Matches
8,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,26,1993,8.4,65.5,1.55,13,42.4,13.1,1.19,62.3,0.83,1.31,63.6,0.83,0,44.4,227.3,101.9,4.52,1.07,0.12,1.31,1.07,51.9,48.2,92.9,3.81,Matches
9,Kellyn Acosta\ece10cfe,us USA,MF,Colorado Rapids,24,1995,12.7,47.6,1.26,9.21,26.5,16.1,2.28,47,0.47,1.02,46.2,0.55,0.08,31.1,185.4,83.9,3.7,1.34,0.31,0.55,1.26,39.2,34.6,88.2,5.2,Matches
10,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,23,1996,8.7,59.9,1.49,17.1,37.6,9.54,0.8,58.4,1.26,1.38,91.7,1.26,0,44,248.7,96.4,2.3,0.46,0.23,0.92,1.26,43.6,41.5,95.3,1.15,Matches
11,Fanendo Adi\ae2dd50a,ng NGA,FW,Columbus Crew,29,1990,2,42,2,2.5,16.5,23.5,4.5,41,0.5,0.5,100,0.5,0,22,68,30.5,1.5,0.5,0,2.5,3,53.5,32,59.8,11,Matches
12,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Vancouver,26,1993,19.6,61.8,5.51,20.1,29.3,15.9,0.66,53.7,1.58,2.5,63.3,1.94,0.2,34.8,168.8,96.7,4.54,1.33,0.15,1.07,0.77,40.4,35.9,88.8,2.5,Matches
13,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,33,1986,20,77.8,3.85,21.9,37.3,23.5,0.9,69,0.75,0.85,88.2,0.75,0,49.1,197.1,113.8,4.1,1.9,0.05,0.8,0.7,53.9,51,94.5,2.25,Matches
14,Juan Agudelo\0cb2115f,us USA,FWMF,Inter Miami,27,1992,9.4,40.5,1.06,3.72,18.3,20.1,5.43,39.7,0.64,1.91,33.3,0.74,0,25.6,109.9,57.3,3.3,0.74,0.53,1.91,2.23,40.9,29.6,72.4,9.89,Matches
15,Matheus Aiás\3ac4ee49,br BRA,FWMF,Orlando City,23,1996,0.2,65,10,15,30,25,15,55,0,0,,0,0,40,145,80,10,0,5,5,5,30,20,66.7,5,Matches
16,José Aja\d47341b9,uy URU,DF,Minnesota Utd,26,1993,11.9,50.6,8.32,31.9,17.4,2.52,1.51,49.3,0.08,0.08,100,0.08,0,22.6,94.3,48.5,0.59,0.25,0,0.25,0,27.2,26.1,96,0.5,Matches
17,Jacob Akanyirige\760e85e2,us USA,DF,San Jose,18,2001,0.8,50,6.25,25,27.5,2.5,0,50,1.25,1.25,100,1.25,0,35,306.3,213.8,6.25,0,0,0,0,31.3,28.8,92,0,Matches
18,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,27,1992,9.1,38.8,0.99,3.96,18.4,19,4.29,37.5,0.33,0.66,50,0.33,0,25.1,110.5,48.4,2.53,1.1,0.33,2.53,1.76,44.5,30.1,67.7,10.1,Matches
19,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,20,2000,11.8,25.2,0.51,1.02,11.9,13.6,4.92,24,0.59,1.02,58.3,0.59,0,15.3,69.5,37.9,2.54,0.51,1.02,2.88,2.12,39.7,20.1,50.5,9.66,Matches
