Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Atlanta Utd,30,57.4,34,22020,2498,7976,10450,5112,743,20443,394,607,64.9,413,21,15041,79865,43916,1614,477,142,399,425,17470,15376,88,977
Austin FC,27,54,34,21281,2722,7874,8935,5886,809,19692,323,530,60.9,351,28,14214,72317,40199,1492,477,150,410,369,16766,14707,87.7,1215
CF Montréal,28,52.9,34,21314,2195,7236,10218,5241,767,19829,344,594,57.9,383,22,14326,73242,39787,1488,454,161,479,397,16831,14697,87.3,1223
Chicago Fire,25,49.8,34,20236,2311,6686,9520,5183,795,18482,328,559,58.7,346,20,12627,61951,32126,1210,428,80,505,459,15127,12500,82.6,1044
Colorado Rapids,27,48.3,34,19518,2155,6752,8938,4995,797,18000,306,495,61.8,327,22,12624,62812,34511,1411,400,144,360,376,15092,13053,86.5,1166
Columbus Crew,27,51.7,34,20344,2485,7285,9201,5012,676,18772,322,547,58.9,343,24,13551,63579,31980,1182,364,119,437,380,15815,13517,85.5,1090
D.C. United,29,46,34,18404,1929,5878,8756,4895,796,16668,247,493,50.1,280,26,10589,55402,29535,1253,395,122,445,408,13261,10609,80,1142
FC Cincinnati,29,49,34,19908,2487,7959,8962,4250,684,18325,348,597,58.3,382,37,12945,64494,35131,1226,389,118,491,372,15106,13060,86.5,923
FC Dallas,26,51.1,34,20782,2746,8347,9193,4587,728,19286,328,530,61.9,347,16,13421,67561,37632,1230,398,131,455,380,16118,13818,85.7,1052
Houston Dynamo,30,45.1,34,18286,1999,6363,8084,5024,704,16645,298,534,55.8,332,18,11460,59158,32105,1236,386,141,432,359,13374,11182,83.6,1087
Inter Miami,26,46.2,34,18934,2209,6484,9096,4517,564,17472,261,473,55.2,295,22,12171,61578,31711,1141,371,90,442,402,14530,12541,86.3,1015
LA Galaxy,29,54.3,34,22456,2443,7696,10575,5705,806,20949,315,544,57.9,337,27,15196,78755,42677,1581,502,141,371,408,17791,15695,88.2,1270
Los Angeles FC,30,49.8,34,20660,1775,6071,9259,6678,1016,18923,482,834,57.8,521,43,13162,64464,35022,1473,497,148,531,555,15121,12767,84.4,1382
Minnesota Utd,27,50.1,34,20592,1926,5945,9453,6443,848,19010,366,661,55.4,390,39,13322,62519,33627,1429,476,115,479,428,15545,13232,85.1,1318
Nashville,28,46.5,34,19086,2029,6464,9179,4483,722,17660,205,367,55.9,220,15,11963,58519,30425,1155,355,112,364,333,14380,12347,85.9,1026
New England,25,50.9,34,20526,2070,6279,9788,5798,977,18957,339,600,56.5,362,27,13008,70127,37012,1495,502,165,432,378,15495,13218,85.3,1279
NY Red Bulls,28,48.1,34,18755,1745,5763,8441,5635,827,17043,315,591,53.3,355,34,10410,53318,29002,1153,407,126,539,438,12765,9926,77.8,1124
NYCFC,26,53.5,34,21254,2092,6819,9892,5872,1007,19659,277,483,57.3,308,21,13278,68116,36943,1502,473,133,497,450,16375,13880,84.8,1462
Orlando City,29,51.1,34,20591,2160,7137,9767,4905,763,19054,265,470,56.4,291,15,13204,63702,33373,1255,421,116,455,446,15889,13931,87.7,1129
Philadelphia,27,48.2,34,19043,1992,5955,8268,6016,901,17501,307,517,59.4,319,33,11713,62498,33877,1266,436,118,408,358,14107,11554,81.9,1260
Portland Timbers,29,44.9,34,19288,2483,7050,8334,5092,754,17748,300,539,55.7,319,12,12116,62541,35068,1298,426,120,425,381,14356,12172,84.8,1196
Real Salt Lake,26,50.9,34,19693,2209,6808,9154,5000,753,18085,303,539,56.2,334,27,12508,67202,34842,1328,429,144,416,373,14805,12691,85.7,1083
San Jose,24,52.6,34,19959,2456,7585,8957,4740,727,18289,362,631,57.4,379,31,12721,67942,37718,1360,403,143,450,443,14868,12818,86.2,1009
Seattle,29,48.6,34,20260,2375,7477,9165,4780,718,18702,294,480,61.3,319,15,12908,60887,32207,1122,323,88,391,386,15253,12961,85,1077
Sporting KC,25,55,34,23036,2238,7431,10940,6286,802,21434,315,573,55,354,23,15413,83041,46293,1773,517,135,482,440,18213,16101,88.4,1254
Toronto FC,30,49.4,34,20841,2245,6588,9817,5717,792,19223,324,543,59.7,346,34,13596,65174,35139,1451,472,164,434,465,16379,14023,85.6,1197
Vancouver,27,46.1,34,18789,2244,6755,8649,4472,627,17152,277,468,59.2,296,14,11831,58262,30447,1097,331,93,409,370,14162,11915,84.1,970
