Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atlanta Utd,30,34,747,21.97,541,62,52,27,50,15,78,2.29,54,4,8,2,9,1
Austin FC,27,34,713,20.97,526,69,39,30,29,20,53,1.56,40,3,2,5,3,0
CF Montréal,28,34,624,18.35,458,51,40,20,33,22,75,2.21,55,8,5,3,3,1
Chicago Fire,25,34,749,22.03,544,91,33,31,35,15,53,1.56,38,5,1,5,4,0
Colorado Rapids,27,34,739,21.74,544,62,52,41,26,14,80,2.35,50,8,7,10,4,1
Columbus Crew,27,34,635,18.68,449,53,36,33,49,15,62,1.82,37,3,6,7,8,1
D.C. United,29,34,717,21.09,496,72,38,47,43,21,95,2.79,60,6,3,10,11,5
FC Cincinnati,29,34,624,18.35,411,62,42,41,48,20,55,1.62,35,2,7,5,4,2
FC Dallas,26,34,696,20.47,500,61,42,39,28,26,70,2.06,51,0,6,7,2,4
Houston Dynamo,30,34,665,19.56,483,59,31,43,32,17,53,1.56,34,4,5,5,4,1
Inter Miami,26,34,533,15.68,385,53,24,19,35,17,61,1.79,44,4,5,1,5,2
LA Galaxy,29,34,705,20.74,541,55,38,22,33,16,78,2.29,62,2,4,5,4,1
Los Angeles FC,30,34,829,24.38,588,63,57,37,57,27,91,2.68,62,5,7,4,9,4
Minnesota Utd,27,34,791,23.26,562,68,54,47,42,18,67,1.97,48,3,2,10,3,1
Nashville,28,34,685,20.15,466,82,28,39,45,25,89,2.62,63,8,4,6,6,2
New England,25,34,818,24.06,604,76,51,35,35,17,112,3.29,83,6,8,7,6,2
NY Red Bulls,28,34,727,21.38,487,75,52,42,42,29,64,1.88,45,5,0,8,3,3
NYCFC,26,34,811,23.85,584,80,35,53,33,26,85,2.5,56,4,4,13,6,2
Orlando City,29,34,647,19.03,469,61,26,40,33,18,81,2.38,60,4,4,5,6,2
Philadelphia,27,34,684,20.12,502,67,35,29,35,16,72,2.12,49,5,3,6,7,2
Portland Timbers,29,34,700,20.59,497,80,40,33,35,15,85,2.5,61,4,3,10,5,2
Real Salt Lake,26,34,719,21.15,534,72,31,38,31,13,91,2.68,72,6,3,4,3,3
San Jose,24,34,703,20.68,479,71,44,48,34,27,64,1.88,37,8,9,6,1,3
Seattle,29,34,643,18.91,439,74,28,42,41,19,74,2.18,45,8,4,10,7,0
Sporting KC,25,34,708,20.82,533,37,36,33,45,24,96,2.82,75,1,3,7,9,1
Toronto FC,30,34,560,16.47,420,41,41,19,30,9,65,1.91,43,6,6,3,5,2
Vancouver,27,34,521,15.32,326,76,31,33,34,21,67,1.97,36,9,5,8,7,2
