,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,
Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
C.J. Sapong\ef4e4c5d,17,us USA,FW,32-331,81,0,0,0,0,0,0,1,0,1,12,2,16.7,1,9,2,2,1,0,1,0,0,0,0
Jhonder Cádiz\e8edfdc9,99,ve VEN,FW,26-117,9,0,0,0,0,0,0,0,,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
Hany Mukhtar\87fe8526,10,de GER,FW,26-247,90,0,0,0,0,0,0,1,0,1,12,6,50,2,7,3,1,0,0,1,2,2,0,0
Aníbal Godoy\2d496ca3,20,pa PAN,CM,31-286,90,3,3,2,1,0,0,0,,0,14,7,50,5,8,1,1,0,0,1,3,6,1,0
Randall Leal\874a5031,8,cr CRC,CM,24-313,89,1,0,0,1,0,0,1,0,1,18,4,22.2,4,10,4,0,0,0,0,0,1,0,0
Brian Anunga\17b28ec7,27,cm CMR,CM,25-105,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Dax McCarty\b74e58c0,6,us USA,DM,34-207,89,3,3,2,1,0,1,1,100,0,20,8,40,9,11,0,0,0,0,0,2,5,1,0
Alex Muyl\2c1025bf,19,us USA,DM,26-054,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Daniel Lovitz\db97d838,2,us USA,WB,30-088,90,0,0,0,0,0,0,1,0,1,6,2,33.3,2,3,1,1,1,0,0,3,3,6,0
Eric Miller\c0593f5d,15,us USA,WB,28-312,82,2,0,1,1,0,1,1,100,0,9,2,22.2,2,5,2,1,1,0,0,1,3,0,0
Jalil Anibaba\e44593b0,3,us USA,CB,33-035,8,1,0,0,1,0,1,1,100,0,3,0,0,2,1,0,0,0,0,0,0,1,3,0
Jack Maher\0c6f2fa6,5,us USA,CB,22-026,90,1,1,1,0,0,1,1,100,0,11,7,63.6,7,4,0,0,0,0,0,1,2,4,0
Walker Zimmerman\220fa883,25,us USA,CB,28-188,90,4,4,4,0,0,2,2,100,0,9,6,66.7,8,1,0,4,3,0,1,4,8,7,0
Alistair Johnston\4fb17e20,12,ca CAN,CBWB,23-046,90,3,0,1,2,0,0,2,0,2,12,3,25,5,7,0,1,0,0,1,0,3,0,0
Joe Willis\467f09c8,1,us USA,GK,33-105,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
