Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
C.J. Sapong\ef4e4c5d,17,us USA,FW,32-331,81,13,25,52,167,39,10,16,62.5,3,7,42.9,0,0,,1,0.2,4,3,0,0,1
Jhonder Cádiz\e8edfdc9,99,ve VEN,FW,26-117,9,0,2,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0
Hany Mukhtar\87fe8526,10,de GER,FW,26-247,90,19,31,61.3,277,51,10,13,76.9,8,13,61.5,0,3,0,0,0,0,2,1,0,1
Aníbal Godoy\2d496ca3,20,pa PAN,CM,31-286,90,30,33,90.9,590,113,13,14,92.9,10,12,83.3,7,7,100,1,0,0,1,0,0,3
Randall Leal\874a5031,8,cr CRC,CM,24-313,89,24,30,80,396,207,12,13,92.3,11,12,91.7,1,3,33.3,0,0,0,2,2,0,3
Brian Anunga\17b28ec7,27,cm CMR,CM,25-105,1,1,1,100,6,6,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0
Dax McCarty\b74e58c0,6,us USA,DM,34-207,89,37,42,88.1,672,204,20,21,95.2,11,12,91.7,5,8,62.5,0,0,0,3,0,0,4
Alex Muyl\2c1025bf,19,us USA,DM,26-054,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0
Daniel Lovitz\db97d838,2,us USA,WB,30-088,90,23,30,76.7,632,173,5,6,83.3,9,10,90,9,14,64.3,1,0,1,2,0,0,2
Eric Miller\c0593f5d,15,us USA,WB,28-312,82,38,48,79.2,668,242,20,22,90.9,14,20,70,4,6,66.7,0,0,1,1,1,0,5
Jalil Anibaba\e44593b0,3,us USA,CB,33-035,8,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0
Jack Maher\0c6f2fa6,5,us USA,CB,22-026,90,30,37,81.1,802,167,3,5,60,16,18,88.9,11,14,78.6,0,0,0,2,0,0,0
Walker Zimmerman\220fa883,25,us USA,CB,28-188,90,42,52,80.8,944,428,9,11,81.8,26,29,89.7,6,10,60,0,0,0,4,0,0,3
Alistair Johnston\4fb17e20,12,ca CAN,CBWB,23-046,90,48,59,81.4,1003,320,16,17,94.1,25,26,96.2,7,14,50,0,0,0,6,0,0,6
Joe Willis\467f09c8,1,us USA,GK,33-105,90,11,19,57.9,524,383,0,0,,2,2,100,9,17,52.9,0,0,0,0,0,0,0
