Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att
C.J. Sapong\ef4e4c5d,17,us USA,FW,32-331,81,0,1,0,0,1,1,0,0,33,12,0,0,2,0,0,0.2,6,1,13,25,52,1,21,5,1,1
Jhonder Cádiz\e8edfdc9,99,ve VEN,FW,26-117,9,1,0,0,0,1,1,0,0,5,2,0,0,0,0.1,0.1,0,1,1,0,2,0,0,4,1,0,1
Hany Mukhtar\87fe8526,10,de GER,FW,26-247,90,2,0,0,0,4,3,0,0,43,12,0,2,1,0.3,0.3,0,3,1,19,31,61.3,1,32,3,1,2
Aníbal Godoy\2d496ca3,20,pa PAN,CM,31-286,90,0,1,0,0,1,0,0,0,47,14,3,3,1,0,0,0,3,1,30,33,90.9,3,30,2,0,2
Randall Leal\874a5031,8,cr CRC,CM,24-313,89,0,0,0,0,2,1,0,0,35,18,1,0,0,0,0,0,0,0,24,30,80,3,29,4,1,1
Brian Anunga\17b28ec7,27,cm CMR,CM,25-105,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0
Dax McCarty\b74e58c0,6,us USA,DM,34-207,89,0,0,0,0,0,0,0,0,50,20,3,2,0,0,0,0,0,0,37,42,88.1,4,24,1,0,1
Alex Muyl\2c1025bf,19,us USA,DM,26-054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Daniel Lovitz\db97d838,2,us USA,WB,30-088,90,0,1,0,0,0,0,0,0,39,6,0,3,1,0,0,0,2,1,23,30,76.7,2,18,1,1,1
Eric Miller\c0593f5d,15,us USA,WB,28-312,82,0,0,0,0,0,0,0,0,55,9,2,1,1,0,0,0,1,0,38,48,79.2,5,32,2,0,0
Jalil Anibaba\e44593b0,3,us USA,CB,33-035,8,0,0,0,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Jack Maher\0c6f2fa6,5,us USA,CB,22-026,90,0,0,0,0,0,0,0,0,42,11,1,1,0,0,0,0,0,0,30,37,81.1,0,25,1,0,0
Walker Zimmerman\220fa883,25,us USA,CB,28-188,90,0,0,0,0,0,0,0,0,71,9,4,4,4,0,0,0,1,0,42,52,80.8,3,35,0,1,1
Alistair Johnston\4fb17e20,12,ca CAN,CBWB,23-046,90,0,0,0,0,0,0,0,0,65,12,3,0,1,0,0,0,0,0,48,59,81.4,6,49,7,0,0
Joe Willis\467f09c8,1,us USA,GK,33-105,90,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,11,19,57.9,0,6,0,0,0
15 Players,,,,,990,3,3,0,0,9,6,1,0,511,128,18,16,11,0.5,0.5,0.3,17,5,316,409,77.3,28,305,27,5,10
