Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
C.J. Sapong\ef4e4c5d,17,us USA,FW,32-331,81,33,0,1,23,13,3,33,1,1,100,1,0,21,124,93,5,2,1,4,1,51,25,49,8
Jhonder Cádiz\e8edfdc9,99,ve VEN,FW,26-117,9,5,0,0,2,3,2,5,0,1,0,0,0,4,19,15,1,0,1,0,0,4,4,100,0
Hany Mukhtar\87fe8526,10,de GER,FW,26-247,90,43,1,7,20,20,3,40,1,2,50,1,0,32,215,132,3,4,1,0,1,53,32,60.4,8
Aníbal Godoy\2d496ca3,20,pa PAN,CM,31-286,90,47,3,12,33,6,0,47,0,2,0,0,1,30,151,80,2,0,0,2,0,49,35,71.4,3
Randall Leal\874a5031,8,cr CRC,CM,24-313,89,35,0,9,14,17,1,35,1,1,100,1,1,29,198,159,4,3,0,1,1,36,27,75,3
Brian Anunga\17b28ec7,27,cm CMR,CM,25-105,1,2,0,1,1,0,0,2,0,0,,0,0,0,0,0,0,0,0,1,0,1,1,100,0
Dax McCarty\b74e58c0,6,us USA,DM,34-207,89,50,4,18,27,5,0,46,0,1,0,0,0,24,90,41,1,0,0,0,2,27,24,88.9,2
Alex Muyl\2c1025bf,19,us USA,DM,26-054,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Daniel Lovitz\db97d838,2,us USA,WB,30-088,90,39,6,15,20,5,0,33,1,1,100,1,0,18,75,40,1,0,0,0,0,20,17,85,0
Eric Miller\c0593f5d,15,us USA,WB,28-312,82,55,3,12,27,17,0,46,0,0,,0,0,32,113,42,2,0,0,2,0,40,35,87.5,3
Jalil Anibaba\e44593b0,3,us USA,CB,33-035,8,4,1,2,2,0,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack Maher\0c6f2fa6,5,us USA,CB,22-026,90,42,3,25,18,0,0,41,0,0,,0,0,25,124,57,1,0,0,0,0,27,27,100,0
Walker Zimmerman\220fa883,25,us USA,CB,28-188,90,71,18,56,19,1,0,69,1,1,100,1,0,35,288,171,0,0,0,1,0,35,34,97.1,1
Alistair Johnston\4fb17e20,12,ca CAN,CBWB,23-046,90,65,3,19,44,7,0,62,0,0,,0,0,49,248,151,7,0,0,0,0,53,51,96.2,0
Joe Willis\467f09c8,1,us USA,GK,33-105,90,20,16,18,2,0,0,9,0,0,,0,0,6,38,22,0,0,0,0,0,4,4,100,0
