,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,
Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Daryl Dike\d4cfc93c,18,us USA,FW,21-173,90,0,0,0,0,0,0,0,,0,10,2,20,0,2,8,0,0,0,0,0,0,0,0
Benji Michel\151ca25f,19,us USA,LW,24-031,74,2,1,0,1,1,1,1,100,0,15,5,33.3,3,5,7,2,0,0,2,0,2,0,0
Nani\15e9c7e6,17,pt POR,LW,35-006,16,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Chris Mueller\a5334099,9,us USA,RW,25-086,80,1,1,0,1,0,1,3,33.3,2,10,2,20,0,5,5,0,0,0,0,1,2,1,0
Tesho Akindele\897304e5,13,ca CAN,RW,29-237,10,0,0,0,0,0,0,0,,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Mauricio Pereyra\f45eb18d,10,uy URU,AMDM,31-253,90,1,1,0,0,1,0,0,,0,19,4,21.1,0,10,9,0,0,0,0,0,1,0,0
Jhegson Méndez\db0c5324,8,ec ECU,DM,24-211,79,2,1,0,1,1,2,2,100,0,16,4,25,4,10,2,0,0,0,0,3,5,0,0
Alexandre Pato\7dd83c7d,7,br BRA,AM,32-082,11,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Júnior Urso\b40424f1,11,br BRA,DM,32-258,90,0,0,0,0,0,0,0,,0,5,3,60,1,4,0,3,1,0,2,0,0,1,0
Emmanuel Más\b9385e1f,3,ar ARG,LB,32-312,89,3,2,3,0,0,1,2,50,1,12,2,16.7,8,4,0,2,0,0,2,5,8,2,0
Silvester van der Water\5d83500d,14,nl NED,LB,25-054,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Robin Jansson\8ca5c176,6,se SWE,CB,30-008,90,1,1,1,0,0,0,0,,0,11,1,9.1,8,3,0,1,0,0,1,1,2,4,0
Antonio Carlos\949fe1e8,25,br BRA,CB,28-261,90,0,0,0,0,0,0,1,0,1,6,2,33.3,4,2,0,3,1,0,2,3,3,6,0
Ruan\f2665f7c,2,br BRA,RB,26-178,90,0,0,0,0,0,0,1,0,1,8,1,12.5,5,1,2,0,0,0,0,0,0,1,0
Pedro Gallese\b76e1394,1,pe PER,GK,31-273,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
