Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att
Daryl Dike\d4cfc93c,18,us USA,FW,21-173,90,1,0,0,0,2,1,0,0,20,10,0,0,0,0.3,0.3,0,0,0,6,9,66.7,1,11,2,0,2
Benji Michel\151ca25f,19,us USA,LW,24-031,74,0,0,0,0,0,0,0,0,32,15,2,0,2,0,0,0,2,1,14,19,73.7,0,24,4,1,3
Nani\15e9c7e6,17,pt POR,LW,35-006,16,0,0,0,0,1,0,0,0,16,1,0,0,0,0,0,0,0,0,4,10,40,0,8,1,0,1
Chris Mueller\a5334099,9,us USA,RW,25-086,80,0,0,0,0,1,0,0,0,47,10,1,1,0,0,0,0,0,0,26,36,72.2,2,36,9,1,1
Tesho Akindele\897304e5,13,ca CAN,RW,29-237,10,0,0,0,0,2,0,0,0,8,2,0,0,0,0.1,0.1,0.1,1,0,5,6,83.3,0,4,0,0,0
Mauricio Pereyra\f45eb18d,10,uy URU,AMDM,31-253,90,0,1,0,0,0,0,1,0,69,19,1,0,0,0,0,0.2,3,1,45,62,72.6,6,33,5,1,2
Jhegson Méndez\db0c5324,8,ec ECU,DM,24-211,79,0,0,0,0,2,0,1,0,56,16,2,3,0,0,0,0,1,0,43,48,89.6,1,34,1,2,2
Alexandre Pato\7dd83c7d,7,br BRA,AM,32-082,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,5,80,1,6,1,0,1
Júnior Urso\b40424f1,11,br BRA,DM,32-258,90,0,0,0,0,2,1,0,0,52,5,0,0,3,0.1,0.1,0,2,0,37,42,88.1,4,35,2,0,0
Emmanuel Más\b9385e1f,3,ar ARG,LB,32-312,89,0,0,0,0,0,0,0,0,79,12,3,5,2,0,0,0,1,0,55,65,84.6,5,41,5,0,0
Silvester van der Water\5d83500d,14,nl NED,LB,25-054,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.1,1,0,3,4,75,0,3,1,0,0
Robin Jansson\8ca5c176,6,se SWE,CB,30-008,90,0,0,0,0,0,0,0,0,64,11,1,1,1,0,0,0,1,0,51,56,91.1,1,43,2,0,0
Antonio Carlos\949fe1e8,25,br BRA,CB,28-261,90,0,0,0,0,0,0,0,0,63,6,0,3,3,0,0,0,0,0,42,52,80.8,2,42,7,0,0
Ruan\f2665f7c,2,br BRA,RB,26-178,90,0,0,0,0,0,0,0,0,47,8,0,0,0,0,0,0,1,0,35,43,81.4,5,27,3,0,0
Pedro Gallese\b76e1394,1,pe PER,GK,31-273,90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,23,26,88.5,0,11,0,0,0
15 Players,,,,,990,1,1,0,0,10,2,2,0,590,115,10,13,11,0.6,0.6,0.5,13,2,393,483,81.4,28,358,43,5,12
