Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Daryl Dike\d4cfc93c,18,us USA,FW,21-173,90,20,0,0,9,14,6,19,0,2,0,0,0,11,48,31,2,1,0,3,2,32,17,53.1,5
Benji Michel\151ca25f,19,us USA,LW,24-031,74,32,1,3,16,16,9,32,1,3,33.3,2,0,24,116,71,4,1,3,5,3,29,23,79.3,6
Nani\15e9c7e6,17,pt POR,LW,35-006,16,16,0,2,5,10,3,13,0,1,0,0,0,8,52,20,1,0,1,0,1,8,7,87.5,1
Chris Mueller\a5334099,9,us USA,RW,25-086,80,47,1,4,26,19,5,46,1,1,100,1,0,36,242,127,9,1,1,4,1,44,36,81.8,5
Tesho Akindele\897304e5,13,ca CAN,RW,29-237,10,8,0,0,3,5,4,8,0,0,,0,0,4,11,1,0,0,0,0,0,7,6,85.7,2
Mauricio Pereyra\f45eb18d,10,uy URU,AMDM,31-253,90,69,0,8,38,29,3,58,1,2,50,1,0,33,154,86,5,4,1,0,3,47,44,93.6,4
Jhegson Méndez\db0c5324,8,ec ECU,DM,24-211,79,56,1,13,38,8,1,53,2,2,100,2,0,34,145,70,1,0,0,1,0,39,39,100,0
Alexandre Pato\7dd83c7d,7,br BRA,AM,32-082,11,7,0,0,5,4,0,7,0,1,0,0,0,6,28,21,1,2,0,0,0,6,6,100,2
Júnior Urso\b40424f1,11,br BRA,DM,32-258,90,52,1,4,34,15,1,51,0,0,,0,0,35,151,39,2,1,0,1,1,44,40,90.9,1
Emmanuel Más\b9385e1f,3,ar ARG,LB,32-312,89,79,3,34,34,15,0,66,0,0,,0,0,41,195,68,5,1,0,1,1,48,46,95.8,0
Silvester van der Water\5d83500d,14,nl NED,LB,25-054,1,4,0,0,2,2,0,3,0,0,,0,0,3,14,9,1,0,0,0,0,2,2,100,0
Robin Jansson\8ca5c176,6,se SWE,CB,30-008,90,64,3,33,28,4,2,61,0,0,,0,0,43,138,59,2,0,0,1,0,43,43,100,1
Antonio Carlos\949fe1e8,25,br BRA,CB,28-261,90,63,8,28,37,5,1,62,0,0,,0,0,42,304,194,7,4,0,0,0,43,43,100,0
Ruan\f2665f7c,2,br BRA,RB,26-178,90,47,0,10,31,11,1,39,0,0,,0,0,27,181,113,3,0,0,2,0,33,28,84.8,1
Pedro Gallese\b76e1394,1,pe PER,GK,31-273,90,26,20,26,0,0,0,21,0,0,,0,0,11,56,26,0,0,0,0,0,13,13,100,0
