Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
vs Atlanta Utd,30,34,10876,13727,79.2,215883,81723,4361,4932,88.4,4572,5340,85.6,1753,2943,59.6,28,33.5,-5.5,332,877,260,52,1042
vs Austin FC,27,34,12227,14973,81.7,248360,82837,4483,5075,88.3,5643,6353,88.8,1915,3051,62.8,37,39.6,-2.6,368,941,284,79,1052
vs CF Montréal,28,34,13173,16187,81.4,261229,86715,5194,5867,88.5,5740,6493,88.4,2046,3309,61.8,28,30.4,-2.4,298,976,233,73,1017
vs Chicago Fire,25,34,12477,15834,78.8,260521,90786,4525,5278,85.7,5527,6422,86.1,2229,3562,62.6,33,37.4,-4.4,361,976,356,94,1143
vs Colorado Rapids,27,34,14189,17094,83,281583,88052,5363,5921,90.6,6470,7189,90,2151,3462,62.1,28,29.2,-1.2,310,934,215,40,1100
vs Columbus Crew,27,34,12472,15436,80.8,251026,89476,4842,5456,88.7,5433,6287,86.4,2019,3219,62.7,29,30,-1,347,999,323,80,1231
vs D.C. United,29,34,12729,16229,78.4,258139,90248,4799,5523,86.9,5587,6541,85.4,2112,3559,59.3,36,30.4,+5.6,290,957,240,77,1082
vs FC Cincinnati,29,34,13738,16658,82.5,269844,91629,5502,6148,89.5,5965,6763,88.2,2054,3169,64.8,52,44.5,+7.5,368,1105,316,76,1235
vs FC Dallas,26,34,13207,16220,81.4,266665,88698,5019,5644,88.9,5850,6715,87.1,2115,3323,63.6,36,34.4,+1.6,363,1094,305,87,1184
vs Houston Dynamo,30,34,14084,17224,81.8,282433,92397,5365,5988,89.6,6257,7067,88.5,2222,3596,61.8,38,33.7,+4.3,328,1109,279,71,1197
vs Inter Miami,26,34,14677,17416,84.3,284174,91745,5980,6612,90.4,6428,7167,89.7,2058,3154,65.3,41,38.4,+2.6,335,1128,297,75,1198
vs LA Galaxy,29,34,13135,15988,82.2,259581,86279,5178,5779,89.6,5725,6483,88.3,2014,3182,63.3,35,34.7,+0.3,350,915,267,70,1101
vs Los Angeles FC,30,34,12486,15938,78.3,254520,89560,4814,5496,87.6,5325,6242,85.3,2129,3559,59.8,40,30.7,+9.3,272,952,211,64,1029
vs Minnesota Utd,27,34,13468,16652,80.9,267737,91446,5187,5848,88.7,6021,6911,87.1,2051,3354,61.2,31,34,-3,310,965,252,61,1135
vs Nashville,28,34,14816,17704,83.7,289168,92654,5861,6509,90,6511,7242,89.9,2198,3384,65,26,23.8,+2.2,286,1064,258,55,1188
vs New England,25,34,12725,15821,80.4,254035,96067,5128,5771,88.9,5303,6098,87,2050,3345,61.3,32,34.3,-2.3,386,991,344,83,1167
vs NY Red Bulls,28,34,11100,15204,73,227002,86610,4317,5144,83.9,4645,5659,82.1,1927,3669,52.5,19,27,-8,222,788,211,55,937
vs NYCFC,26,34,11776,15144,77.8,240480,79993,4654,5320,87.5,4820,5630,85.6,2098,3648,57.5,25,24,+1.0,231,762,203,57,877
vs Orlando City,29,34,13078,15949,82,258267,87447,5155,5745,89.7,5736,6517,88,1966,3165,62.1,38,31.8,+6.2,316,1016,265,74,1193
vs Philadelphia,27,34,13072,16219,80.6,260046,93658,5214,5882,88.6,5575,6472,86.1,2083,3262,63.9,24,27.5,-3.5,290,1062,317,77,1251
vs Portland Timbers,29,34,15363,18484,83.1,316419,105376,5706,6358,89.7,6903,7784,88.7,2580,3835,67.3,36,36.9,-0.9,361,1382,386,103,1483
vs Real Salt Lake,26,34,12259,15369,79.8,247019,87452,4694,5341,87.9,5363,6221,86.2,1999,3302,60.5,38,34.8,+3.2,361,1026,291,99,1141
vs San Jose,24,34,11580,14508,79.8,232688,87691,4400,5002,88,5112,5913,86.5,1868,3036,61.5,36,40,-4,381,947,294,56,1233
vs Seattle,29,34,14209,17349,81.9,283067,93061,5631,6316,89.2,6029,6890,87.5,2299,3504,65.6,22,25.9,-3.9,285,1205,247,73,1224
vs Sporting KC,25,34,12729,15700,81.1,259418,88501,4598,5198,88.5,5909,6743,87.6,2024,3237,62.5,30,35.5,-5.5,291,882,228,74,1028
vs Toronto FC,30,34,14285,17233,82.9,282642,93681,5543,6170,89.8,6323,7133,88.6,2184,3353,65.1,49,41.8,+7.2,366,1066,298,85,1234
vs Vancouver,27,34,14361,17441,82.3,293511,95229,5221,5947,87.8,6606,7427,88.9,2332,3515,66.3,29,34.8,-5.8,364,1094,319,96,1268
