Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atlanta Utd,27,23,10381,9377,1004,329,25,1518,293,213,89,33,35,14,7230,1362,1789,3058,6249,347,397,111,8441,34,181,103,231
Chicago Fire,25,23,10767,9596,1171,359,20,1462,422,252,105,47,33,11,7024,1425,2318,2781,6615,487,459,173,8386,49,218,160,295
Colorado Rapids,22,18,8546,7764,782,204,18,1097,248,222,91,32,35,4,5827,1172,1547,2346,5356,266,295,119,6872,21,154,111,197
Columbus Crew,26,23,10634,9513,1121,332,14,1174,371,276,107,41,44,16,7284,1327,2023,3081,6366,356,452,151,8557,25,222,125,259
D.C. United,26,23,12500,11314,1186,294,24,1731,400,307,143,37,68,13,8686,1595,2219,3282,7825,387,551,159,10171,28,216,139,316
FC Cincinnati,30,23,11766,10700,1066,324,15,1468,386,265,117,45,43,8,8490,1374,1902,3267,7336,418,430,126,9667,30,213,130,260
FC Dallas,27,22,10512,9418,1094,265,5,1209,356,309,129,56,38,10,7141,1368,2003,3172,6182,332,476,143,8480,9,197,129,237
Houston Dynamo,26,23,11743,10643,1100,306,22,1469,414,331,130,58,50,8,8098,1514,2131,3519,7049,359,422,161,9521,29,210,120,282
Inter Miami,28,23,11259,10154,1105,359,17,1552,385,227,93,31,36,14,7945,1454,1860,2970,7127,330,443,168,9153,37,185,146,271
LA Galaxy,25,22,11705,10656,1049,300,25,1448,378,269,92,36,38,5,8239,1407,2059,3469,7032,365,453,160,9630,39,173,137,276
Los Angeles FC,28,22,8946,7840,1106,294,14,1623,345,211,89,26,33,10,5251,1396,2299,2261,5468,378,448,141,6619,49,198,130,317
Minnesota Utd,28,21,11066,9977,1089,285,18,1429,414,289,112,41,25,16,7582,1451,2033,3314,6608,338,445,133,8962,36,169,132,289
Montreal Impact,26,23,11978,10866,1112,300,23,1340,482,337,136,36,65,5,8435,1446,2097,3388,7493,333,451,146,9845,63,203,142,254
Nashville,26,23,12867,11758,1109,330,14,1572,450,293,101,27,45,6,9297,1585,1985,3546,8108,362,457,165,10803,21,174,120,259
New England,25,23,10712,9443,1269,300,41,1535,322,215,112,40,45,11,6804,1537,2371,2937,6300,421,617,144,8267,51,213,143,305
NY Red Bulls,27,23,12126,10855,1271,321,29,1657,422,236,105,28,34,20,7614,1805,2707,3575,6914,506,604,184,9342,45,242,133,408
NYCFC,22,23,9762,8536,1226,405,16,1371,293,263,102,29,32,14,6248,1341,2173,2638,5885,389,474,155,7457,61,239,147,306
Orlando City,28,23,10985,9891,1094,300,12,1390,384,329,138,68,43,9,7357,1539,2089,3353,6494,326,441,151,8871,29,190,108,288
Philadelphia,23,23,11273,10047,1226,349,22,1769,425,341,126,55,42,15,7608,1526,2139,3247,6692,420,526,157,8993,27,239,153,286
Portland Timbers,27,23,12357,11291,1066,265,13,1524,421,376,149,42,52,26,8682,1492,2183,3529,7607,400,439,146,10069,32,188,151,318
Real Salt Lake,26,22,9750,8661,1089,311,24,1347,345,230,103,40,33,14,6142,1422,2186,2597,5829,428,473,142,7522,37,221,120,270
San Jose,27,23,9702,8639,1063,295,22,1482,228,212,106,39,50,4,6557,1296,1849,2523,6004,351,439,153,7714,22,165,143,265
Seattle,27,22,10348,9307,1041,253,12,1375,367,252,111,41,44,11,7023,1283,2042,3003,6220,332,453,133,8272,25,187,143,218
Sporting KC,23,21,10315,9266,1049,280,24,1612,351,190,75,32,28,3,6972,1432,1911,3149,6058,285,436,142,8239,37,181,132,270
Toronto FC,29,23,11006,9927,1079,267,16,1359,384,255,114,36,38,10,7523,1359,2124,3192,6615,382,475,140,8832,59,223,94,278
Vancouver,27,23,13718,12625,1093,276,26,1531,474,396,162,63,34,15,9999,1622,2097,4022,8524,348,469,148,11658,26,197,161,292
