Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,6.6,29.4,28.6,0.76,0.15,0,6.67,0.3,1.97,0.45,0,0,0,23.3,2.58,3.48,3.94,23.9,0.45,0,0.45,21.7,0,0.3,0.91,1.21,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,10.3,55,44,11.1,0.29,0,5.05,1.26,0.58,0,0,0,0,35.6,10.2,9.22,5.44,36,2.14,10.8,0,45.4,0,1.36,1.55,1.17,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,13.7,56.9,45.8,11.1,0.58,0.15,8.91,2.26,2.55,0.07,0,0.07,0,30.8,13,13.1,10.7,33.5,1.39,10.4,0.07,43.1,0.22,1.97,2.63,1.68,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,2.5,18,16.8,1.2,0,0,5.6,0,0.8,0,0,0,0,7.6,6,4.4,2,10.8,2.8,0,0.8,8.4,0,0,2.4,0.8,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,3,20.7,18.7,2,0.33,0,6.33,0.33,0.67,0,0,0,0,15,4,1.67,3.67,15.7,0,0,0.67,14.3,0,0.67,2,1.33,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,21.3,47.2,46.3,0.89,0.8,0,4.74,1.13,0,0,0,0,0,39.1,3.05,5.02,2.21,41.8,1.78,0.09,0,43.4,0.09,0.33,0.42,0.28,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,15,55.3,54.5,0.87,0.8,0.07,9.87,1,0.07,0,0,0,0,42.8,5.27,7.27,7.33,44.7,2.47,0.07,0.07,46.5,0.2,0.93,1.6,1.2,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,9.1,23.7,23.3,0.44,0,0,5.82,0,0.88,0,0,0,0,18.6,3.41,1.76,5.38,16.3,0.77,0.33,0.33,18.2,0.11,0.33,1.76,0.66,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,17.5,67.4,59.9,7.43,3.94,0.11,10.1,4.06,0.86,2.97,1.43,1.09,0.06,45.8,7.94,13.7,7.94,55,2.51,0.46,0.11,56.8,0.29,1.26,1.43,0.91,Matches
10,Danilo Acosta\41f720a5,hn HON,DF,LA Galaxy,23,1997,0.7,54.3,37.1,17.1,0,0,4.29,1.43,2.86,0,0,0,0,28.6,17.1,8.57,37.1,0,0,17.1,0,42.9,0,2.86,1.43,2.86,Matches
11,Kellyn Acosta\ece10cfe,us USA,MFDF,Colorado Rapids,25,1995,19.1,47.4,44.5,2.93,0.89,0.16,8.64,1.68,0.89,0.31,0.26,0.05,0,34.4,7.49,5.55,15.9,28.6,0.79,1.73,0.05,40.1,0.1,0.79,1.57,0.68,Matches
12,Luciano Acosta\363ba6d7,ar ARG,MF,FC Cincinnati,26,1994,29.9,55.4,48.7,6.66,3.11,0.47,9.2,2.91,1.97,2.17,1.14,0.43,0.07,39.3,6.72,9.36,10.3,42.7,0.6,0.94,0.6,41.9,0.4,0.97,2.44,2.21,Matches
13,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,24,1996,1.6,46.9,43.8,3.13,2.5,0,6.25,1.25,0,0,0,0,0,40,3.13,3.75,8.13,36.9,1.25,0.63,0,43.8,0,0.63,0,0.63,Matches
14,Samuel Adeniran\86429529,us USA,FWMF,Seattle,22,1998,0.7,15.7,14.3,1.43,0,0,2.86,0,0,0,0,0,0,12.9,0,2.86,11.4,1.43,0,0,0,12.9,0,0,0,1.43,Matches
15,Fanendo Adi\ae2dd50a,ng NGA,FW,Minnesota Utd,30,1990,2.3,27,23.5,3.48,0,0.43,8.7,0,0,0,0,0,0,15.2,6.09,5.65,2.61,16.1,2.17,0.43,1.3,17,0,0,2.61,1.3,Matches
16,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,34,1986,20.2,65.7,57.1,8.56,0.4,0.1,7.62,1.58,2.03,0,0,0,0,40.4,12.7,12.5,7.62,48.6,0.84,8.17,0.2,52.1,0.25,1.14,3.02,1.24,Matches
17,Juan Agudelo\0cb2115f,us USA,FWMF,Minnesota Utd,28,1992,2.7,21.5,20,1.48,0,0,5.19,0,0,0,0,0,0,12.6,3.7,5.19,2.59,14.8,0.74,0,0,15.6,0.37,0,0.74,0,Matches
18,Raul Aguilera Jr.\7b6113d9,us USA,MF,Orlando City,21,1999,1.1,51.8,50.9,0.91,0.91,0,6.36,1.82,0,0,0,0,0,41.8,4.55,5.45,2.73,46.4,2.73,0,0,47.3,0,0,0.91,0,Matches
19,Daniel Aguirre\ecc5063f,us USA,MFFW,LA Galaxy,21,1999,0.4,52.5,50,2.5,2.5,0,5,0,2.5,0,0,0,0,37.5,2.5,12.5,5,47.5,0,0,0,42.5,0,2.5,2.5,0,Matches
20,Matheus Aiás\3ac4ee49,br BRA,FWMF,Orlando City,24,1996,0.2,20,20,0,0,0,10,0,0,0,0,0,0,10,0,10,5,5,0,0,5,5,0,0,0,5,Matches
21,Arnaud Ake\3402bb17,ci CIV,FWMF,Nashville,22,1998,4.4,18.6,18,0.68,0,0,7.05,0,0.68,0.23,0,0,0,15.2,1.59,1.82,1.14,16.4,0.23,0,0,14.8,0,0.45,1.14,0.68,Matches
22,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,28,1992,15.2,23.6,21.7,1.91,0,0.13,7.83,0.13,0.46,0,0,0,0,16.8,4.74,2.11,2.83,17.7,0.92,0.07,0.79,18.9,0.07,0.26,0.72,0.59,Matches
23,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,21,2000,7.2,20,17.2,2.78,0,0.14,5.42,0.28,0.56,0,0,0,0,15.7,2.36,1.94,4.31,13.1,0.83,0.42,0.28,16.5,0,0,0.42,0.42,Matches
24,Oswaldo Alanís\e97787d9,mx MEX,DF,San Jose,31,1989,22.7,56.9,53.8,3.08,2.64,0,7.36,3.35,0.09,0,0,0,0,42.2,5.81,8.94,44.4,9.52,1.59,0.44,0,50.5,0.09,0.75,1.37,0.4,Matches
25,Caio Alexandre\08ac23b7,br BRA,MF,Vancouver,21,1999,10.6,48.9,45.3,3.58,2.92,0.19,9.43,1.32,0.38,0,0,0,0,39,3.96,5.94,5.47,42.4,0.75,0.09,0,41.8,0,0.94,0.85,1.6,Matches
26,Tony Alfaro\4118b12a,us USA,DF,D.C. United,27,1993,20.5,41.9,37.8,4.1,2.1,0.05,5.32,1.9,0.1,0,0,0,0,27.4,4.63,9.85,30.7,5.66,2.29,1.95,0.1,33.3,0.1,1.07,1.07,0.44,Matches
27,Ignacio Aliseda\bb8099ee,ar ARG,FWMF,Chicago Fire,20,2000,17.7,31.8,31.2,0.56,0.06,0.06,7.85,0.73,1.24,0.11,0.06,0,0,25.5,3.73,2.49,3.05,26.6,0.9,0.4,0.34,26.7,0.11,0.4,0.96,1.47,Matches
28,Osvaldo Alonso\8449bfda,cu CUB,MF,Minnesota Utd,35,1985,15.7,62.1,60.1,2.04,1.78,0.13,7.45,2.04,0.25,0,0,0,0,49.6,6.11,6.37,6.94,51.3,2.68,0.25,0.32,56.6,0,0.7,1.27,0.57,Matches
29,Jozy Altidore\8db8ad1e,us USA,FW,Toronto FC,31,1989,8.5,25.8,24,1.76,0.12,0,5.53,0.24,0.35,0,0,0,0,18.5,4.59,2.71,4.12,19.6,0.47,0,0.71,18.6,0.24,0.12,2.47,0.82,Matches
30,Alexander Alvarado\7302ba2b,ec ECU,FWMF,Orlando City,21,1999,2.2,38.2,36.8,1.36,0.45,0,5.91,0.45,0.91,0.45,0,0,0.45,31.4,3.64,3.18,4.55,31.4,0.91,0.45,0,33.2,0,0.45,0.45,0.45,Matches
31,Ventura Alvarado\4c219392,us USA,DF,Inter Miami,28,1992,0.2,40,25,15,0,0,5,0,0,0,0,0,0,25,10,5,0,25,0,15,0,35,0,0,0,5,Matches
32,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,18,2002,13.9,47.4,44,3.38,1.15,0.5,8.13,1.87,1.87,2.16,0.94,0.14,0.07,37.1,4.46,5.83,43.4,2.95,0.94,0,0.14,39.6,0.22,0.58,1.8,1.15,Matches
33,Frankie Amaya\2e8bd00c,us USA,MF,NY Red Bulls,20,2000,9.3,38,35.7,2.26,1.08,0.22,6.67,1.51,0.97,0.86,0.32,0.54,0,24.7,5.48,7.74,6.77,28.4,1.61,0.32,0.32,28.7,0.22,1.08,1.08,0.65,Matches
34,Mikey Ambrose\f649d6aa,us USA,DFMF,Atlanta Utd,27,1993,0.7,61.4,55.7,5.71,1.43,0,8.57,0,1.43,0,0,0,0,42.9,10,8.57,51.4,1.43,2.86,4.29,1.43,50,0,0,4.29,4.29,Matches
35,Malte Amundsen\83b6e15d,dk DEN,DF,NYCFC,22,1998,15.5,55,45.5,9.42,0.45,0.06,6.45,0.9,2.52,0.06,0.06,0,0,33.2,11.7,10.1,39.5,4.77,1.23,8.9,0,41.7,0.32,0.65,2.52,2.06,Matches
36,Sebastian Anderson\3a9911ce,us USA,DF,Colorado Rapids,18,2002,0.4,47.5,40,7.5,0,0,10,0,0,0,0,0,0,20,20,7.5,5,27.5,5,7.5,0,42.5,0,0,2.5,0,Matches
