Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Brenden Aaronson\5bc43860,us USA,MF,Philadelphia,19,2000,21.2,451,568,79.4,7020,1541,243,276,88,166,197,84.3,33,66,50,4,2.7,+1.3,27,31,13,1,39,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,FC Cincinnati,28,1991,4.7,190,224,84.8,3629,1047,70,78,89.7,88,100,88,25,35,71.4,0,0.1,-0.1,2,4,0,0,11,Matches
3,Mohammed Abu\c1f17b17,gh GHA,MF,D.C. United,28,1991,3.7,190,222,85.6,3446,1009,93,103,90.3,68,81,84,25,30,83.3,0,0.1,-0.1,2,17,2,0,18,Matches
4,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,25,1994,16.8,844,930,90.8,19125,6362,220,236,93.2,443,475,93.3,179,207,86.5,0,0.2,-0.2,3,44,0,0,39,Matches
5,David Accam\f5220ece,gh GHA,FWMF,Nashville,29,1990,2.3,42,58,72.4,752,153,21,26,80.8,17,23,73.9,4,6,66.7,0,0.1,-0.1,3,3,2,1,4,Matches
6,Nicolás Acevedo\6140be7b,uy URU,MFFW,NYCFC,20,1999,1.5,82,98,83.7,1518,293,33,36,91.7,41,50,82,8,9,88.9,0,0,0,0,8,0,0,2,Matches
7,Ifunanyachi Achara\d31bf83e,us USA,MF,Toronto FC,22,1997,1,25,29,86.2,395,126,13,16,81.3,5,6,83.3,4,4,100,0,0.2,-0.2,1,0,0,0,1,Matches
8,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,26,1993,8.4,402,465,86.5,8699,2503,133,146,91.1,189,204,92.6,75,102,73.5,2,1.7,+0.3,15,58,7,1,60,Matches
9,Kellyn Acosta\ece10cfe,us USA,MF,Colorado Rapids,24,1995,12.7,416,483,86.1,8089,1815,155,179,86.6,201,218,92.2,55,71,77.5,1,1,0,9,32,5,1,32,Matches
10,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,23,1996,8.7,405,449,90.2,8054,1543,160,171,93.6,174,184,94.6,67,80,83.8,1,0.6,+0.4,4,40,3,0,23,Matches
11,Fanendo Adi\ae2dd50a,ng NGA,FW,Columbus Crew,29,1990,2,33,55,60,466,63,17,26,65.4,12,19,63.2,1,4,25,0,0,0,1,2,1,0,3,Matches
12,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Vancouver,26,1993,19.6,704,965,73,14384,6258,225,276,81.5,365,464,78.7,106,191,55.5,4,3.5,+0.5,16,51,21,6,91,Matches
13,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,33,1986,20,1082,1366,79.2,21122,8108,424,472,89.8,505,597,84.6,150,264,56.8,1,1.4,-0.4,16,95,30,12,131,Matches
14,Juan Agudelo\0cb2115f,us USA,FWMF,Inter Miami,27,1992,9.4,191,258,74,2915,745,98,127,77.2,70,91,76.9,12,19,63.2,0,0.6,-0.6,5,17,6,0,26,Matches
15,Matheus Aiás\3ac4ee49,br BRA,FWMF,Orlando City,23,1996,0.2,5,7,71.4,82,30,1,1,100,2,2,100,1,3,33.3,0,0,0,0,1,0,0,1,Matches
16,José Aja\d47341b9,uy URU,DF,Minnesota Utd,26,1993,11.9,354,437,81,8020,3013,97,111,87.4,181,210,86.2,74,108,68.5,0,0.6,-0.6,4,19,1,0,16,Matches
17,Jacob Akanyirige\760e85e2,us USA,DF,San Jose,18,2001,0.8,31,36,86.1,699,221,7,8,87.5,17,20,85,7,8,87.5,0,0,0,0,5,0,0,3,Matches
18,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,27,1992,9.1,215,274,78.5,3185,539,124,146,84.9,65,87,74.7,17,20,85,0,0.9,-0.9,11,14,5,1,12,Matches
19,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,20,2000,11.8,132,170,77.6,1839,213,79,92,85.9,39,52,75,6,8,75,0,0.3,-0.3,6,5,4,1,9,Matches
20,Oswaldo Alanís\e97787d9,mx MEX,DF,San Jose,30,1989,13.2,730,836,87.3,17539,5905,206,225,91.6,333,354,94.1,190,249,76.3,0,0,0,0,72,3,0,59,Matches
21,Fatai Alashe\eb67fa0a,us USA,MF,FC Cincinnati,26,1993,0.3,5,5,100,129,0,0,0,,3,3,100,2,2,100,0,0,0,0,0,0,0,0,Matches
22,Fatai Alashe\eb67fa0a,us USA,MF,Columbus Crew,26,1993,4.8,190,229,83,3804,892,75,88,85.2,85,91,93.4,28,42,66.7,0,0.2,-0.2,4,22,2,0,14,Matches
23,Ignacio Aliseda\bb8099ee,ar ARG,FWMF,Chicago Fire,19,2000,15.5,335,394,85,5427,966,157,181,86.7,130,146,89,28,32,87.5,2,1.8,+0.2,15,23,17,2,29,Matches
24,Osvaldo Alonso\8449bfda,cu CUB,MF,Minnesota Utd,34,1985,8.3,447,489,91.4,8837,2652,182,195,93.3,192,204,94.1,71,81,87.7,0,0.4,-0.4,4,47,2,1,33,Matches
25,Jozy Altidore\8db8ad1e,us USA,FWMF,Toronto FC,30,1989,8.3,187,241,77.6,3202,771,97,119,81.5,62,80,77.5,20,26,76.9,0,0.8,-0.8,11,21,12,2,27,Matches
26,Alexander Alvarado\7302ba2b,ec ECU,FWMF,Orlando City,20,1999,0.3,9,9,100,130,38,5,5,100,4,4,100,0,0,,0,0,0,0,0,0,0,1,Matches
27,Efrain Alvarez\3cd08ab7,mx MEX,FWMF,LA Galaxy,17,2002,8,268,374,71.7,5561,1961,113,136,83.1,92,114,80.7,58,107,54.2,1,1.9,-0.9,19,33,10,0,42,Matches
28,Luis Amarilla\fa66adb6,py PAR,FW,Minnesota Utd,24,1995,4.7,91,125,72.8,1421,289,52,64,81.3,29,37,78.4,7,13,53.8,1,0.1,+0.9,3,11,6,0,10,Matches
29,Frankie Amaya\2e8bd00c,us USA,MF,FC Cincinnati,19,2000,19.3,808,938,86.1,16671,2788,286,317,90.2,359,392,91.6,151,208,72.6,0,0.4,-0.4,10,43,7,0,43,Matches
30,Mikey Ambrose\f649d6aa,us USA,DF,Inter Miami,26,1993,3.4,112,136,82.4,2113,1107,50,57,87.7,48,55,87.3,14,19,73.7,0,0.1,-0.1,2,8,5,3,9,Matches
31,José Andrés Martínez\c8364e8e,ve VEN,MF,Philadelphia,25,1994,12.7,518,622,83.3,11385,2824,166,201,82.6,233,265,87.9,112,140,80,2,1.1,+0.9,5,67,4,1,50,Matches
32,Jalil Anibaba\e44593b0,us USA,DF,Nashville,31,1988,6.5,188,250,75.2,4193,1693,51,59,86.4,97,116,83.6,38,71,53.5,0,0,0,0,16,0,0,19,Matches
33,Brian Anunga\17b28ec7,cm CMR,MF,Nashville,23,1996,8.7,343,388,88.4,6076,1154,162,175,92.6,139,152,91.4,38,49,77.6,0,0,0,1,21,1,0,21,Matches
34,Julian Araujo\8f4541c2,mx MEX,DFFW,LA Galaxy,18,2001,14.3,443,601,73.7,7487,3204,212,248,85.5,177,233,76,40,80,50,2,1.5,+0.5,14,35,14,5,43,Matches
35,Luis Argudo\71e5d21d,us USA,MF,Inter Miami,24,1995,0.1,9,12,75,166,7,4,5,80,4,4,100,1,1,100,0,0,0,0,1,0,0,0,Matches
36,Daniel Armando Ríos\078b2c07,mx MEX,FW,Nashville,24,1995,7.8,141,170,82.9,1989,178,87,98,88.8,42,52,80.8,7,10,70,0,0.7,-0.7,6,2,1,0,5,Matches
37,Xavier Arreaga\7f2b7640,ec ECU,DF,Seattle,25,1994,12.7,664,725,91.6,15696,4707,158,169,93.5,326,343,95,176,206,85.4,1,0.4,+0.6,1,25,1,0,31,Matches
38,Paul Arriola\1bb2acce,us USA,MF,D.C. United,24,1995,0.2,12,16,75,187,84,4,5,80,7,9,77.8,0,1,0,0,0,0,0,2,0,0,2,Matches
39,Artur\ea6803c7,br BRA,MF,Columbus Crew,23,1996,20.3,1073,1214,88.4,23963,4930,318,357,89.1,505,549,92,242,280,86.4,2,0.7,+1.3,10,98,7,0,81,Matches
40,Yamil Asad\a444689a,ar ARG,MFFW,D.C. United,25,1994,17.5,623,805,77.4,11071,3065,311,355,87.6,213,267,79.8,85,151,56.3,2,1.3,+0.7,14,58,23,5,61,Matches
41,Dairon Asprilla\218d336c,co COL,FWMF,Portland Timbers,27,1992,0.5,11,18,61.1,177,42,7,8,87.5,3,6,50,1,4,25,0,0,0,0,1,1,1,1,Matches
42,Joshua Atencio\1f084637,us USA,MFDF,Seattle,18,2002,0.2,32,35,91.4,681,141,8,10,80,20,20,100,4,4,100,0,0,0,0,2,0,0,0,Matches
43,Jeff Attinella\4277b946,us USA,GK,Portland Timbers,31,1988,1,26,33,78.8,861,548,1,1,100,14,14,100,11,18,61.1,0,0,0,0,0,0,0,0,Matches
44,Eduard Atuesta\60990b81,co COL,MF,Los Angeles FC,22,1997,14.7,1063,1260,84.4,20346,6072,438,484,90.5,468,525,89.1,149,215,69.3,2,1.9,+0.1,22,140,41,0,145,Matches
45,Auro\b234cb0e,br BRA,DF,Toronto FC,24,1996,16.6,1022,1221,83.7,17144,6194,494,536,92.2,412,459,89.8,87,162,53.7,0,2.4,-2.4,17,89,15,9,76,Matches
46,Micheal Azira\87c0db23,ug UGA,MF,Chicago Fire,32,1987,1.4,65,79,82.3,1209,302,25,28,89.3,31,36,86.1,9,12,75,0,0,0,0,5,1,0,3,Matches
47,Dominique Badji\758ac389,sn SEN,FW,Nashville,27,1992,8.3,108,142,76.1,1651,330,53,69,76.8,43,48,89.6,5,13,38.5,1,0.9,+0.1,6,7,5,1,11,Matches
48,Zico Bailey\aa9e1161,us USA,DF,FC Cincinnati,19,2000,3.3,157,173,90.8,2699,790,76,80,95,60,64,93.8,16,21,76.2,0,0.3,-0.3,3,10,5,1,9,Matches
49,Theo Bair\c724745e,ca CAN,FWMF,Vancouver,20,1999,4.9,72,94,76.6,1017,152,45,53,84.9,23,33,69.7,2,3,66.7,0,0.1,-0.1,1,1,2,1,3,Matches
50,Corey Baird\2d0d1442,us USA,FWMF,Real Salt Lake,24,1996,17,429,565,75.9,6647,1612,246,289,85.1,148,195,75.9,25,50,50,2,1.9,+0.1,16,26,12,4,37,Matches
51,Michael Baldisimo\894b41c5,ca CAN,MF,Vancouver,19,2000,7.8,356,430,82.8,8606,2540,103,115,89.6,162,179,90.5,88,128,68.8,0,0.4,-0.4,5,34,0,0,25,Matches
52,Ezequiel Barco\7fa737c4,ar ARG,FWMF,Atlanta Utd,20,1999,11.5,501,604,82.9,8514,1879,275,314,87.6,145,170,85.3,68,95,71.6,2,0.7,+1.3,14,29,23,0,55,Matches
53,Tom Barlow\da4821de,us USA,FW,NY Red Bulls,24,1995,10.8,154,219,70.3,2030,323,91,122,74.6,44,63,69.8,5,8,62.5,0,0.5,-0.5,5,11,2,0,10,Matches
54,Álvaro Barreal\ffca53e1,ar ARG,FW,FC Cincinnati,19,2000,3.6,59,88,67,1124,287,27,33,81.8,24,33,72.7,8,19,42.1,0,0,0,0,5,2,2,6,Matches
55,Michael Barrios\df782c79,co COL,FW,FC Dallas,28,1991,18.6,397,593,66.9,6759,2247,187,239,78.2,165,224,73.7,34,89,38.2,3,4.6,-1.6,38,23,41,12,57,Matches
56,Cole Bassett\2c8da8a1,us USA,MF,Colorado Rapids,18,2001,10.9,372,461,80.7,6653,1320,154,175,88,172,196,87.8,40,71,56.3,5,1.7,+3.3,12,30,9,2,28,Matches
57,Clement Bayiha\ca9f2034,ca CAN,DFFW,Montreal Impact,20,1999,0.8,24,32,75,399,117,9,11,81.8,12,15,80,2,3,66.7,0,0,0,1,1,0,0,4,Matches
58,Tanner Beason\3f1b018e,us USA,DF,San Jose,22,1997,9,413,488,84.6,9694,3305,86,99,86.9,230,250,92,96,131,73.3,0,0.1,-0.1,1,14,1,1,15,Matches
59,Brayan Beckeles\5a19e4b8,hn HON,DF,Nashville,34,1985,0.8,30,36,83.3,631,386,8,11,72.7,17,18,94.4,4,6,66.7,0,0,0,0,3,1,0,6,Matches
60,Kyle Beckerman\3485cb96,us USA,MF,Real Salt Lake,37,1982,4.3,181,217,83.4,3337,643,83,96,86.5,64,70,91.4,31,42,73.8,0,0.1,-0.1,2,20,2,1,9,Matches
