Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Brenden Aaronson\5bc43860,us USA,MF,Philadelphia,19,2000,21.2,2.26,1.42,0.9,0.75,0.61,0.33,1.7,19.4,1.37,26.5,6.84,25.8,5.66,12.6,8.16,1.84,0.24,0,1.6,0.42,2.69,0.33,0,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,FC Cincinnati,28,1991,4.7,1.49,1.28,0.64,0.85,0,0.43,1.28,33.3,0.85,8.51,3.62,42.5,3.83,3.62,1.06,2.34,0.21,0,2.13,1.28,2.77,2.55,0,Matches
3,Mohammed Abu\c1f17b17,gh GHA,MF,D.C. United,28,1991,3.7,3.24,1.08,2.7,0.54,0,0.54,1.08,50,0.54,21.1,3.78,17.9,11.9,7.03,2.16,1.89,0,0,1.89,0.81,4.05,1.08,0,Matches
4,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,25,1994,16.8,1.79,1.07,1.19,0.6,0,0.3,0.71,41.7,0.42,10.4,3.21,30.9,6.73,3.63,0.06,2.26,1.43,0,0.83,0.89,2.68,6.07,0.12,Matches
5,David Accam\f5220ece,gh GHA,FWMF,Nashville,29,1990,2.3,0.43,0.43,0.43,0,0,0,1.74,0,1.74,20.4,3.91,19.1,6.09,10.4,3.91,0.87,0,0,0.87,0.43,0.87,0.43,0,Matches
6,Nicolás Acevedo\6140be7b,uy URU,MFFW,NYCFC,20,1999,1.5,5.33,4.67,2,2.67,0.67,0.67,5.33,12.5,4.67,36.7,12,32.7,9.33,22,5.33,2,0.67,0,1.33,0.67,6,2.67,0.67,Matches
7,Ifunanyachi Achara\d31bf83e,us USA,MF,Toronto FC,22,1997,1,2,2,1,1,0,1,2,50,1,18,11,61.1,3,13,2,2,1,0,1,1,3,2,0,Matches
8,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,26,1993,8.4,1.79,1.43,0.6,1.07,0.12,0.24,0.83,28.6,0.6,14.3,4.64,32.5,4.76,7.14,2.38,1.19,0.36,0,0.83,0.48,2.26,1.55,0,Matches
9,Kellyn Acosta\ece10cfe,us USA,MF,Colorado Rapids,24,1995,12.7,2.13,1.57,1.1,0.94,0.08,0.71,1.18,60,0.47,13.5,3.94,29.2,3.15,8.03,2.28,1.26,0.24,0,1.02,0.08,2.2,0.55,0,Matches
10,Mo Adams\00362ef7,eng ENG,MF,Atlanta Utd,23,1996,8.7,2.41,1.38,1.03,1.15,0.23,0.34,1.38,25,1.03,22.8,5.52,24.2,6.44,14,2.3,1.72,0.23,0,1.49,1.03,3.45,0.46,0,Matches
11,Fanendo Adi\ae2dd50a,ng NGA,FW,Columbus Crew,29,1990,2,1.5,1,0,1,0.5,0.5,0.5,100,0,11,4.5,40.9,0,5,6,1,0.5,0,0.5,0,1.5,2,0,Matches
12,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Vancouver,26,1993,19.6,2.45,1.38,1.58,0.66,0.2,1.28,3.06,41.7,1.79,11.8,3.47,29.4,5.97,4.08,1.73,2.65,0.31,0,2.35,1.17,3.62,2.86,0,Matches
13,Harrison Afful\7d8ede09,gh GHA,DF,Columbus Crew,33,1986,20,1.8,0.95,0.8,0.7,0.3,0.65,1.2,54.2,0.55,8.45,2.6,30.8,3.75,3.5,1.2,1.6,0.35,0,1.25,1.2,3,2.9,0.15,Matches
14,Juan Agudelo\0cb2115f,us USA,FWMF,Inter Miami,27,1992,9.4,1.06,0.64,0.11,0.74,0.21,0.11,1.17,9.1,1.06,18.8,4.15,22,1.91,10.3,6.6,1.49,0.11,0,1.38,0.32,1.38,0.85,0,Matches
15,Matheus Aiás\3ac4ee49,br BRA,FWMF,Orlando City,23,1996,0.2,5,5,5,0,0,0,5,0,5,25,5,20,20,0,5,5,5,0,0,0,5,5,0,Matches
16,José Aja\d47341b9,uy URU,DF,Minnesota Utd,26,1993,11.9,2.52,1.93,2.1,0.25,0.17,1.34,2.52,53.3,1.18,11.1,3.61,32.6,7.65,3.11,0.34,2.1,0.92,0,1.18,0.92,3.45,7.73,0,Matches
17,Jacob Akanyirige\760e85e2,us USA,DF,San Jose,18,2001,0.8,1.25,1.25,1.25,0,0,0,0,,0,5,2.5,50,1.25,3.75,0,0,0,0,0,2.5,3.75,2.5,0,Matches
18,Tesho Akindele\897304e5,ca CAN,FW,Orlando City,27,1992,9.1,0.44,0.22,0.22,0.22,0,0.22,0.44,50,0.22,14.3,3.41,23.8,1.21,4.73,8.35,0.99,0.22,0,0.77,0.33,0.77,0.66,0,Matches
19,Ayo Akinola\214d2406,ca CAN,FW,Toronto FC,20,2000,11.8,0.42,0.17,0.08,0.17,0.17,0.25,0.59,42.9,0.34,11,3.31,30,0.59,4.15,6.27,0.76,0.25,0,0.51,0,0.42,0.34,0,Matches
20,Oswaldo Alanís\e97787d9,mx MEX,DF,San Jose,30,1989,13.2,1.74,1.14,0.98,0.53,0.23,0.61,1.44,42.1,0.83,11.1,4.39,39.7,5.91,4.62,0.53,1.67,0.61,0,1.06,1.29,3.03,2.88,0.08,Matches
21,Fatai Alashe\eb67fa0a,us USA,MF,FC Cincinnati,26,1993,0.3,6.67,3.33,6.67,0,0,3.33,3.33,100,0,43.3,13.3,30.8,16.7,20,6.67,0,0,0,0,0,6.67,3.33,0,Matches
22,Fatai Alashe\eb67fa0a,us USA,MF,Columbus Crew,26,1993,4.8,1.25,0.42,0.63,0.42,0.21,0.21,0.83,25,0.63,14.4,3.33,23.2,3.54,8.33,2.5,2.08,0.83,0,1.25,0.21,1.46,0.83,0,Matches
23,Ignacio Aliseda\bb8099ee,ar ARG,FWMF,Chicago Fire,19,2000,15.5,0.9,0.71,0.13,0.52,0.26,0.32,0.84,38.5,0.52,16.8,5.03,29.9,2.71,8.52,5.61,0.65,0,0,0.65,0.19,1.1,0.19,0,Matches
