Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atlanta Utd,27,23,400,17.39,284,41,19,26,23,7,49,2.13,34,4,4,3,2,2
Chicago Fire,25,23,444,19.3,315,45,30,28,19,7,67,2.91,49,5,4,8,1,0
Colorado Rapids,22,18,402,22.33,264,40,28,24,30,16,42,2.33,29,3,2,4,2,2
Columbus Crew,26,23,435,18.91,312,45,19,20,29,10,36,1.57,21,4,2,2,6,1
D.C. United,26,23,543,23.61,398,51,31,30,26,7,59,2.57,38,6,2,9,3,1
FC Cincinnati,30,23,446,19.39,332,36,22,19,28,9,58,2.52,39,2,6,3,8,0
FC Dallas,27,22,520,23.64,388,29,34,30,27,12,40,1.82,30,1,2,2,4,1
Houston Dynamo,26,23,517,22.48,376,45,37,26,22,11,62,2.7,49,1,3,5,4,0
Inter Miami,28,23,382,16.61,268,26,26,20,32,10,60,2.61,45,0,4,4,6,1
LA Galaxy,25,22,492,22.36,359,43,27,27,30,6,84,3.82,67,0,8,4,4,1
Los Angeles FC,28,22,341,15.5,226,36,27,23,22,7,70,3.18,45,4,6,6,7,2
Minnesota Utd,28,21,475,22.62,376,23,22,24,18,12,40,1.9,32,0,3,2,3,0
Montreal Impact,26,23,542,23.57,420,47,22,20,25,8,71,3.09,58,5,3,3,2,0
Nashville,26,23,420,18.26,330,28,20,16,18,8,36,1.57,25,2,5,1,2,1
New England,25,23,408,17.74,301,42,17,21,14,13,37,1.61,25,3,2,5,1,1
NY Red Bulls,27,23,402,17.48,291,41,21,24,20,5,46,2,32,3,1,6,3,1
NYCFC,22,23,367,15.96,247,39,17,30,26,8,33,1.43,17,3,2,9,2,0
Orlando City,28,23,459,19.96,308,56,33,23,31,8,41,1.78,27,5,2,3,4,0
Philadelphia,23,23,409,17.78,291,42,23,26,20,7,35,1.52,25,1,1,4,2,2
Portland Timbers,27,23,520,22.61,369,44,33,34,32,8,52,2.26,36,2,6,7,1,0
Real Salt Lake,26,22,368,16.73,264,27,29,19,19,10,60,2.73,34,4,8,6,5,3
San Jose,27,23,445,19.35,310,37,38,25,26,9,73,3.17,45,6,6,10,5,1
Seattle,27,22,327,14.86,225,34,19,12,26,11,35,1.59,22,4,1,2,5,1
Sporting KC,23,21,291,13.86,208,30,18,18,12,5,41,1.95,31,2,5,2,1,0
Toronto FC,29,23,352,15.3,259,37,15,15,15,11,39,1.7,30,3,0,3,2,1
Vancouver,27,23,624,27.13,490,49,33,34,15,3,72,3.13,52,5,7,6,2,0
