Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Atlanta Utd,27,23,341,14.83,246,30,17,10,36,2,39,1.7,27,2,5,2,3,0
Chicago Fire,25,23,482,20.96,357,38,26,32,23,6,49,2.13,28,4,4,9,3,1
Colorado Rapids,22,18,391,21.72,302,24,28,17,14,6,51,2.83,37,4,5,2,3,0
Columbus Crew,26,23,413,17.96,314,25,29,16,18,11,58,2.52,45,2,5,3,2,1
D.C. United,26,23,327,14.22,234,36,8,20,22,7,35,1.52,15,6,1,6,4,3
FC Cincinnati,30,23,373,16.22,248,40,23,24,33,5,16,0.7,7,2,1,4,2,0
FC Dallas,27,22,437,19.86,338,37,25,16,12,9,40,1.82,32,1,2,1,3,1
Houston Dynamo,26,23,531,23.09,405,35,27,23,25,16,46,2,31,2,2,6,4,1
Inter Miami,28,23,433,18.83,294,58,21,26,31,3,38,1.65,31,3,1,0,3,0
LA Galaxy,25,22,396,18,275,41,29,20,23,8,42,1.91,27,3,4,3,5,0
Los Angeles FC,28,22,566,25.73,413,39,34,40,32,8,69,3.14,46,3,4,12,3,1
Minnesota Utd,28,21,449,21.38,319,35,26,27,25,17,62,2.95,46,4,2,3,6,1
Montreal Impact,26,23,392,17.04,283,36,19,29,16,9,57,2.48,38,3,3,8,4,1
Nashville,26,23,402,17.48,278,46,23,25,23,7,41,1.78,25,6,2,4,4,0
New England,25,23,538,23.39,362,66,42,34,24,10,43,1.87,28,3,5,5,1,1
NY Red Bulls,27,23,369,16.04,293,26,12,19,8,11,45,1.96,37,1,1,4,2,0
NYCFC,22,23,575,25,425,64,17,34,24,11,55,2.39,35,7,3,5,4,1
Orlando City,28,23,416,18.09,297,35,24,18,35,7,70,3.04,51,4,4,5,5,1
Philadelphia,23,23,466,20.26,357,32,21,23,14,19,70,3.04,58,2,1,3,4,2
Portland Timbers,27,23,435,18.91,314,39,36,14,24,8,80,3.48,57,4,8,6,4,1
Real Salt Lake,26,22,393,17.86,279,36,23,31,16,8,37,1.68,26,2,4,3,1,1
San Jose,27,23,499,21.7,345,51,37,27,27,12,66,2.87,48,3,6,3,5,1
Seattle,27,22,433,19.68,311,43,27,22,23,7,70,3.18,51,3,7,4,4,1
Sporting KC,23,21,470,22.38,316,39,48,34,25,8,56,2.67,36,3,8,7,2,0
Toronto FC,29,23,474,20.61,377,30,22,22,20,3,52,2.26,39,0,3,8,2,0
Vancouver,27,23,330,14.35,229,32,16,11,32,10,51,2.22,36,1,4,3,4,3
