Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atlanta Utd,30,34,549,353,277,219,53,168,471,35.7,303,4780,1358,28.4,1776,2092,912,449,121,0,328,527,1076,617,11
Austin FC,27,34,569,340,321,167,81,176,553,31.8,377,4900,1374,28,1793,1905,1202,479,145,2,334,428,997,634,15
CF Montréal,28,34,488,302,243,181,64,184,480,38.3,296,4990,1442,28.9,1546,2187,1257,457,107,2,350,469,957,650,10
Chicago Fire,25,34,655,404,293,273,89,196,534,36.7,338,4829,1515,31.4,1552,2134,1143,542,145,1,397,566,1221,795,13
Colorado Rapids,27,34,523,325,253,194,76,183,491,37.3,308,5049,1280,25.4,1520,2380,1149,432,119,7,313,479,1002,658,9
Columbus Crew,27,34,549,341,285,184,80,205,473,43.3,268,4875,1386,28.4,1682,2104,1089,464,144,4,320,521,1070,736,13
D.C. United,29,34,651,387,318,256,77,199,556,35.8,357,5478,1638,29.9,1677,2514,1287,475,97,4,378,614,1265,859,13
FC Cincinnati,29,34,664,415,364,225,75,200,588,34,388,5625,1527,27.1,2075,2440,1110,490,125,2,365,525,1189,763,15
FC Dallas,26,34,633,411,339,220,74,234,612,38.2,378,5412,1552,28.7,1967,2241,1204,447,125,2,322,542,1175,749,7
Houston Dynamo,30,34,576,356,284,205,87,177,459,38.6,282,4973,1404,28.2,1691,2063,1219,438,112,1,326,513,1089,730,13
Inter Miami,26,34,615,385,322,229,64,213,595,35.8,382,5452,1526,28,1902,2523,1027,420,106,5,314,506,1121,658,11
LA Galaxy,29,34,597,382,302,229,66,212,536,39.6,324,4877,1346,27.6,1659,2144,1074,461,123,3,338,483,1080,674,7
Los Angeles FC,30,34,709,429,334,249,126,246,639,38.5,393,6197,1881,30.4,1937,2568,1692,500,86,0,414,650,1359,694,9
Minnesota Utd,27,34,637,431,290,258,89,219,591,37.1,372,5739,1755,30.6,1807,2481,1451,463,107,3,356,528,1165,652,8
Nashville,28,34,584,356,292,211,81,189,469,40.3,280,5341,1475,27.6,1832,2450,1059,421,117,1,304,490,1074,721,2
New England,25,34,597,366,281,230,86,185,486,38.1,301,5304,1537,29,1846,2190,1268,498,129,3,369,502,1099,848,5
NY Red Bulls,28,34,716,439,295,304,117,245,623,39.3,378,6532,2160,33.1,1774,2952,1806,595,73,0,522,673,1389,890,6
NYCFC,26,34,630,374,262,263,105,210,553,38,343,5281,1521,28.8,1511,2371,1399,439,72,1,367,476,1106,743,11
Orlando City,29,34,569,363,306,210,53,188,540,34.8,352,5164,1371,26.5,1808,2221,1135,444,125,4,319,481,1050,704,10
Philadelphia,27,34,707,449,334,283,90,198,538,36.8,340,5568,1709,30.7,1829,2420,1319,512,95,0,417,576,1283,735,8
Portland Timbers,29,34,635,405,363,197,75,188,520,36.2,332,5104,1430,28,2111,1946,1047,514,143,5,371,597,1232,753,9
Real Salt Lake,26,34,543,313,276,199,68,209,579,36.1,370,4998,1382,27.7,1765,2107,1126,484,134,2,350,475,1018,705,9
San Jose,24,34,658,408,347,227,84,233,639,36.5,406,5061,1531,30.3,1835,2242,984,471,147,4,324,602,1260,618,11
Seattle,29,34,701,445,384,238,79,222,608,36.5,386,5377,1652,30.7,2049,2282,1046,495,124,2,371,526,1227,733,10
Sporting KC,25,34,601,371,276,218,107,202,543,37.2,341,5262,1565,29.7,1440,2347,1475,422,95,0,327,492,1093,564,10
Toronto FC,30,34,532,333,262,202,68,194,506,38.3,312,5113,1477,28.9,1683,2162,1268,450,110,3,340,491,1023,622,18
Vancouver,27,34,593,351,288,224,81,240,582,41.2,342,5388,1419,26.3,1848,2336,1204,521,130,1,391,525,1118,718,5
