Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Colorado Rapids,34,17,10,7,51,35,+16,61,49,38.7,+10.3,+0.30,8481,Michael Barrios - 8,William Yarbrough,→ Conference semifinals
2,Seattle,34,17,9,8,53,33,+20,60,47.6,37,+10.6,+0.31,25125,Raúl Ruidíaz - 17,Stefan Frei,→ First round
3,Sporting KC,34,17,7,10,58,40,+18,58,51.9,49.2,+2.7,+0.08,15442,Dániel Sallói - 16,Tim Melia,→ First round
4,Portland Timbers,34,17,4,13,56,52,+4,55,50.3,58.3,-8,-0.24,15025,Felipe Mora - 11,Steve Clark,→ First round
5,Minnesota Utd,34,13,10,11,42,44,-2,49,51.2,45.6,+5.6,+0.17,11315,Robin Lod - 9,Tyler Miller,→ First round
6,Vancouver,34,12,13,9,45,45,0,49,41.3,52.3,-11,-0.32,5447,Brian White - 12,Maxime Crépeau,→ First round
7,Real Salt Lake,34,14,6,14,55,54,+1,48,47.6,48.8,-1.2,-0.04,13599,Damir Kreilach - 16,David Ochoa,→ First round
8,LA Galaxy,34,13,9,12,50,54,-4,48,49.2,53.1,-3.9,-0.12,14849,Javier Hernández - 17,Jonathan Bond,
9,Los Angeles FC,34,12,9,13,53,51,+2,45,60.8,39.3,+21.5,+0.63,18458,Cristian Arango - 14,Tomas Romero,
10,San Jose,34,10,11,13,46,54,-8,41,49.1,56.9,-7.9,-0.23,9132,Javier Eduardo López - 12,J.T. Marcinkowski,
11,FC Dallas,34,7,12,15,47,56,-9,33,47.7,53,-5.3,-0.16,13418,Ricardo Pepi - 13,Jimmy Maurer,
12,Austin FC,34,9,4,21,35,56,-21,31,45.4,57.4,-12.1,-0.35,15858,Diego Fagúndez Cecilio Domínguez - 7,Brad Stuver,
13,Houston Dynamo,34,6,12,16,36,54,-18,30,39,48.1,-9.1,-0.27,11844,Fafà Picault - 11,Marko Marić,
